Owner:,ROBERTS ROY
Cname:,CKRUSH INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,76
2004,Apr,19
2004,May,53
2004,Jun,18
2004,Jul,37
2004,Aug,100
2004,Sep,16
2004,Oct,16
2004,Nov,67
2004,Dec,45
2005,Jan,26
2005,Feb,55
2005,Mar,70
2005,Apr,27
2005,May,36
2005,Jun,12
2005,Jul,24
2005,Aug,80
2005,Sep,63
2005,Oct,59
2005,Nov,20
2005,Dec,19
2006,Jan,52
2006,Feb,35
2006,Mar,24
2006,Apr,58
2006,May,47
2006,Jun,33
2006,Jul,32
2006,Aug,37
2006,Sep,44
2006,Oct,14
2006,Nov,27
2006,Dec,27
2007,Jan,24
2007,Feb,31
2007,Mar,40
2007,Apr,6
2007,May,37
2007,Jun,11
2007,Jul,11
2007,Aug,45
2007,Sep,35
2007,Oct,36
2007,Nov,18
2007,Dec,33
2008,Jan,45
2008,Feb,21
2008,Mar,25
2008,Apr,12
2008,May,37
2008,Jun,18
2008,Jul,33
2008,Aug,29
2008,Sep,30
2008,Oct,11
2008,Nov,19
2008,Dec,19
2009,Jan,22
2009,Feb,26
2009,Mar,21
2009,Apr,59
2009,May,25
2009,Jun,32
2009,Jul,28
2009,Aug,21
2009,Sep,23
2009,Oct,22
2009,Nov,39
2009,Dec,26
2010,Jan,18
2010,Feb,35
2010,Mar,14
2010,Apr,15
2010,May,25
2010,Jun,25
2010,Jul,24
2010,Aug,29
2010,Sep,28
2010,Oct,17
2010,Nov,19
2010,Dec,43
2011,Jan,19
2011,Feb,20
2011,Mar,22
2011,Apr,25
2011,May,67
2011,Jun,48
2011,Jul,41
2011,Aug,46
2011,Sep,21
2011,Oct,34
2011,Nov,17
2011,Dec,27
2012,Jan,36
2012,Feb,38
2012,Mar,23
2012,Apr,31
2012,May,38
2012,Jun,30
2012,Jul,26
2012,Aug,52
2012,Sep,26
2012,Oct,40
2012,Nov,51
2012,Dec,21
2013,Jan,44
2013,Feb,29
2013,Mar,34
2013,Apr,33
2013,May,28
2013,Jun,36
2013,Jul,24
2013,Aug,26
2013,Sep,34
2013,Oct,22
2013,Nov,24
2013,Dec,22
2014,Jan,26
2014,Feb,24
2014,Mar,19
2014,Apr,26
2014,May,27
2014,Jun,25
2014,Jul,45
2014,Aug,28
2014,Sep,21
2014,Oct,21
2014,Nov,20
2014,Dec,23
2015,Jan,16
2015,Feb,17
2015,Mar,26
2015,Apr,19
2015,May,29
2015,Jun,29
2015,Jul,28
2015,Aug,35
2015,Sep,25
2015,Oct,20
2015,Nov,20
2015,Dec,13
2016,Jan,19
2016,Feb,23
2016,Mar,21
2016,Apr,32
2016,May,16
2016,Jun,19
2016,Jul,14
2016,Aug,29
2016,Sep,12
2016,Oct,17
2016,Nov,18
2016,Dec,24
2017,Jan,25
2017,Feb,23
2017,Mar,23
2017,Apr,15
2017,May,22
2017,Jun,15
2017,Jul,16
2017,Aug,17
2017,Sep,20
2017,Oct,33
2017,Nov,30
2017,Dec,37
2018,Jan,23
2018,Feb,16
2018,Mar,20
2018,Apr,17
2018,May,18
2018,Jun,15
2018,Jul,26
2018,Aug,25
2018,Sep,26
2018,Oct,22
2018,Nov,22
2018,Dec,16
2019,Jan,29
2019,Feb,23
2019,Mar,25
2019,Apr,22
2019,May,10
2019,Jun,19
2019,Jul,19
2019,Aug,32
2019,Sep,22
2019,Oct,22
2019,Nov,22
2019,Dec,22
2020,Jan,23
2020,Feb,19
2020,Mar,20
2020,Apr,27
2020,May,19
2020,Jun,19
2020,Jul,23
2020,Aug,25
2020,Sep,25
2020,Oct,18
2020,Nov,27
2020,Dec,25
2021,Jan,38
