Owner:,RODRIGUEZ ALEXANDER
Cname:,SLAM CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,46
2004,Feb,23
2004,Mar,0
2004,Apr,22
2004,May,60
2004,Jun,20
2004,Jul,21
2004,Aug,38
2004,Sep,18
2004,Oct,37
2004,Nov,19
2004,Dec,34
2005,Jan,15
2005,Feb,16
2005,Mar,0
2005,Apr,61
2005,May,96
2005,Jun,28
2005,Jul,83
2005,Aug,65
2005,Sep,24
2005,Oct,34
2005,Nov,46
2005,Dec,44
2006,Jan,10
2006,Feb,20
2006,Mar,36
2006,Apr,28
2006,May,9
2006,Jun,19
2006,Jul,18
2006,Aug,17
2006,Sep,42
2006,Oct,46
2006,Nov,15
2006,Dec,31
2007,Jan,13
2007,Feb,7
2007,Mar,13
2007,Apr,26
2007,May,18
2007,Jun,51
2007,Jul,48
2007,Aug,17
2007,Sep,29
2007,Oct,51
2007,Nov,26
2007,Dec,37
2008,Jan,42
2008,Feb,39
2008,Mar,33
2008,Apr,46
2008,May,85
2008,Jun,50
2008,Jul,100
2008,Aug,47
2008,Sep,17
2008,Oct,76
2008,Nov,71
2008,Dec,70
2009,Jan,98
2009,Feb,73
2009,Mar,78
2009,Apr,43
2009,May,72
2009,Jun,49
2009,Jul,64
2009,Aug,62
2009,Sep,68
2009,Oct,72
2009,Nov,70
2009,Dec,44
2010,Jan,72
2010,Feb,85
2010,Mar,68
2010,Apr,54
2010,May,49
2010,Jun,46
2010,Jul,49
2010,Aug,65
2010,Sep,77
2010,Oct,59
2010,Nov,35
2010,Dec,65
2011,Jan,34
2011,Feb,48
2011,Mar,48
2011,Apr,50
2011,May,40
2011,Jun,41
2011,Jul,55
2011,Aug,69
2011,Sep,63
2011,Oct,52
2011,Nov,66
2011,Dec,60
2012,Jan,46
2012,Feb,39
2012,Mar,48
2012,Apr,50
2012,May,38
2012,Jun,48
2012,Jul,48
2012,Aug,48
2012,Sep,37
2012,Oct,60
2012,Nov,43
2012,Dec,37
2013,Jan,55
2013,Feb,25
2013,Mar,37
2013,Apr,43
2013,May,60
2013,Jun,48
2013,Jul,48
2013,Aug,75
2013,Sep,60
2013,Oct,62
2013,Nov,44
2013,Dec,32
2014,Jan,90
2014,Feb,32
2014,Mar,42
2014,Apr,45
2014,May,42
2014,Jun,50
2014,Jul,49
2014,Aug,40
2014,Sep,42
2014,Oct,44
2014,Nov,29
2014,Dec,36
2015,Jan,42
2015,Feb,41
2015,Mar,37
2015,Apr,37
2015,May,53
2015,Jun,46
2015,Jul,35
2015,Aug,29
2015,Sep,44
2015,Oct,35
2015,Nov,42
2015,Dec,36
2016,Jan,47
2016,Feb,41
2016,Mar,36
2016,Apr,48
2016,May,42
2016,Jun,45
2016,Jul,61
2016,Aug,52
2016,Sep,32
2016,Oct,35
2016,Nov,28
2016,Dec,34
2017,Jan,55
2017,Feb,66
2017,Mar,80
2017,Apr,52
2017,May,40
2017,Jun,54
2017,Jul,47
2017,Aug,36
2017,Sep,44
2017,Oct,50
2017,Nov,35
2017,Dec,38
2018,Jan,40
2018,Feb,45
2018,Mar,39
2018,Apr,34
2018,May,38
2018,Jun,31
2018,Jul,55
2018,Aug,44
2018,Sep,31
2018,Oct,35
2018,Nov,32
2018,Dec,25
2019,Jan,25
2019,Feb,33
2019,Mar,30
2019,Apr,31
2019,May,32
2019,Jun,45
2019,Jul,38
2019,Aug,33
2019,Sep,28
2019,Oct,40
2019,Nov,27
2019,Dec,41
2020,Jan,34
2020,Feb,45
2020,Mar,30
2020,Apr,35
2020,May,36
2020,Jun,31
2020,Jul,39
2020,Aug,45
2020,Sep,23
2020,Oct,41
2020,Nov,27
2020,Dec,36
2021,Jan,32
