Owner:,ROSS STEPHEN M
Cname:,CENTERLINE HOLDING CO
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,24
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,36
2005,Apr,0
2005,May,18
2005,Jun,0
2005,Jul,0
2005,Aug,17
2005,Sep,0
2005,Oct,15
2005,Nov,0
2005,Dec,29
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,11
2006,Sep,0
2006,Oct,10
2006,Nov,0
2006,Dec,10
2007,Jan,0
2007,Feb,19
2007,Mar,9
2007,Apr,0
2007,May,16
2007,Jun,17
2007,Jul,8
2007,Aug,8
2007,Sep,15
2007,Oct,0
2007,Nov,14
2007,Dec,14
2008,Jan,6
2008,Feb,0
2008,Mar,0
2008,Apr,6
2008,May,6
2008,Jun,7
2008,Jul,13
2008,Aug,6
2008,Sep,0
2008,Oct,11
2008,Nov,0
2008,Dec,6
2009,Jan,16
2009,Feb,6
2009,Mar,5
2009,Apr,0
2009,May,16
2009,Jun,11
2009,Jul,16
2009,Aug,10
2009,Sep,15
2009,Oct,10
2009,Nov,10
2009,Dec,0
2010,Jan,9
2010,Feb,14
2010,Mar,0
2010,Apr,5
2010,May,5
2010,Jun,14
2010,Jul,4
2010,Aug,0
2010,Sep,8
2010,Oct,4
2010,Nov,7
2010,Dec,7
2011,Jan,26
2011,Feb,16
2011,Mar,8
2011,Apr,6
2011,May,8
2011,Jun,6
2011,Jul,3
2011,Aug,3
2011,Sep,8
2011,Oct,20
2011,Nov,8
2011,Dec,10
2012,Jan,12
2012,Feb,7
2012,Mar,18
2012,Apr,16
2012,May,7
2012,Jun,9
2012,Jul,9
2012,Aug,6
2012,Sep,18
2012,Oct,8
2012,Nov,6
2012,Dec,14
2013,Jan,17
2013,Feb,4
2013,Mar,7
2013,Apr,6
2013,May,7
2013,Jun,6
2013,Jul,4
2013,Aug,23
2013,Sep,100
2013,Oct,23
2013,Nov,65
2013,Dec,9
2014,Jan,21
2014,Feb,13
2014,Mar,7
2014,Apr,7
2014,May,9
2014,Jun,4
2014,Jul,6
2014,Aug,8
2014,Sep,6
2014,Oct,9
2014,Nov,12
2014,Dec,10
2015,Jan,9
2015,Feb,14
2015,Mar,2
2015,Apr,10
2015,May,12
2015,Jun,15
2015,Jul,8
2015,Aug,2
2015,Sep,17
2015,Oct,22
2015,Nov,13
2015,Dec,11
2016,Jan,6
2016,Feb,6
2016,Mar,10
2016,Apr,12
2016,May,2
2016,Jun,11
2016,Jul,10
2016,Aug,2
2016,Sep,16
2016,Oct,17
2016,Nov,7
2016,Dec,9
2017,Jan,10
2017,Feb,9
2017,Mar,11
2017,Apr,4
2017,May,6
2017,Jun,12
2017,Jul,12
2017,Aug,10
2017,Sep,24
2017,Oct,11
2017,Nov,6
2017,Dec,8
2018,Jan,7
2018,Feb,9
2018,Mar,7
2018,Apr,11
2018,May,4
2018,Jun,4
2018,Jul,3
2018,Aug,7
2018,Sep,15
2018,Oct,5
2018,Nov,14
2018,Dec,12
2019,Jan,8
2019,Feb,11
2019,Mar,9
2019,Apr,5
2019,May,5
2019,Jun,7
2019,Jul,4
2019,Aug,33
2019,Sep,12
2019,Oct,18
2019,Nov,11
2019,Dec,9
2020,Jan,8
2020,Feb,10
2020,Mar,4
2020,Apr,6
2020,May,10
2020,Jun,8
2020,Jul,6
2020,Aug,7
2020,Sep,3
2020,Oct,3
2020,Nov,4
2020,Dec,8
2021,Jan,1
