Owner:,SMITH EDWARD JOHN
Cname:,SMTC CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,100
2004,Feb,10
2004,Mar,12
2004,Apr,38
2004,May,9
2004,Jun,18
2004,Jul,9
2004,Aug,8
2004,Sep,31
2004,Oct,16
2004,Nov,33
2004,Dec,30
2005,Jan,45
2005,Feb,27
2005,Mar,17
2005,Apr,20
2005,May,18
2005,Jun,0
2005,Jul,6
2005,Aug,23
2005,Sep,37
2005,Oct,10
2005,Nov,10
2005,Dec,14
2006,Jan,21
2006,Feb,4
2006,Mar,27
2006,Apr,21
2006,May,19
2006,Jun,8
2006,Jul,12
2006,Aug,11
2006,Sep,15
2006,Oct,23
2006,Nov,10
2006,Dec,7
2007,Jan,20
2007,Feb,28
2007,Mar,20
2007,Apr,20
2007,May,21
2007,Jun,11
2007,Jul,10
2007,Aug,10
2007,Sep,20
2007,Oct,13
2007,Nov,20
2007,Dec,19
2008,Jan,31
2008,Feb,8
2008,Mar,14
2008,Apr,28
2008,May,14
2008,Jun,9
2008,Jul,10
2008,Aug,10
2008,Sep,17
2008,Oct,10
2008,Nov,10
2008,Dec,13
2009,Jan,11
2009,Feb,19
2009,Mar,15
2009,Apr,10
2009,May,21
2009,Jun,5
2009,Jul,10
2009,Aug,10
2009,Sep,11
2009,Oct,22
2009,Nov,8
2009,Dec,14
2010,Jan,11
2010,Feb,6
2010,Mar,14
2010,Apr,10
2010,May,11
2010,Jun,6
2010,Jul,5
2010,Aug,8
2010,Sep,16
2010,Oct,11
2010,Nov,5
2010,Dec,7
2011,Jan,12
2011,Feb,13
2011,Mar,11
2011,Apr,6
2011,May,11
2011,Jun,13
2011,Jul,3
2011,Aug,10
2011,Sep,5
2011,Oct,12
2011,Nov,11
2011,Dec,5
2012,Jan,20
2012,Feb,11
2012,Mar,14
2012,Apr,34
2012,May,12
2012,Jun,7
2012,Jul,4
2012,Aug,9
2012,Sep,17
2012,Oct,15
2012,Nov,8
2012,Dec,14
2013,Jan,11
2013,Feb,13
2013,Mar,11
2013,Apr,12
2013,May,10
2013,Jun,10
2013,Jul,10
2013,Aug,7
2013,Sep,15
2013,Oct,10
2013,Nov,11
2013,Dec,5
2014,Jan,14
2014,Feb,7
2014,Mar,13
2014,Apr,13
2014,May,12
2014,Jun,9
2014,Jul,5
2014,Aug,3
2014,Sep,9
2014,Oct,11
2014,Nov,11
2014,Dec,8
2015,Jan,11
2015,Feb,8
2015,Mar,10
2015,Apr,13
2015,May,14
2015,Jun,9
2015,Jul,4
2015,Aug,3
2015,Sep,13
2015,Oct,15
2015,Nov,7
2015,Dec,11
2016,Jan,14
2016,Feb,12
2016,Mar,11
2016,Apr,14
2016,May,13
2016,Jun,7
2016,Jul,6
2016,Aug,6
2016,Sep,8
2016,Oct,10
2016,Nov,7
2016,Dec,8
2017,Jan,8
2017,Feb,15
2017,Mar,10
2017,Apr,12
2017,May,11
2017,Jun,9
2017,Jul,4
2017,Aug,9
2017,Sep,6
2017,Oct,7
2017,Nov,8
2017,Dec,8
2018,Jan,10
2018,Feb,11
2018,Mar,9
2018,Apr,12
2018,May,13
2018,Jun,5
2018,Jul,2
2018,Aug,8
2018,Sep,4
2018,Oct,15
2018,Nov,10
2018,Dec,10
2019,Jan,14
2019,Feb,10
2019,Mar,13
2019,Apr,14
2019,May,9
2019,Jun,6
2019,Jul,6
2019,Aug,6
2019,Sep,10
2019,Oct,11
2019,Nov,9
2019,Dec,6
2020,Jan,9
2020,Feb,11
2020,Mar,8
2020,Apr,8
2020,May,7
2020,Jun,7
2020,Jul,3
2020,Aug,9
2020,Sep,8
2020,Oct,9
2020,Nov,8
2020,Dec,10
2021,Jan,7
