Owner:,SPIEGEL MICHAEL
Cname:,VUMEE INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,53
2004,Feb,51
2004,Mar,66
2004,Apr,100
2004,May,0
2004,Jun,93
2004,Jul,48
2004,Aug,0
2004,Sep,0
2004,Oct,42
2004,Nov,0
2004,Dec,78
2005,Jan,34
2005,Feb,36
2005,Mar,0
2005,Apr,35
2005,May,0
2005,Jun,96
2005,Jul,32
2005,Aug,30
2005,Sep,82
2005,Oct,51
2005,Nov,79
2005,Dec,50
2006,Jan,0
2006,Feb,0
2006,Mar,62
2006,Apr,86
2006,May,61
2006,Jun,43
2006,Jul,0
2006,Aug,96
2006,Sep,0
2006,Oct,18
2006,Nov,17
2006,Dec,18
2007,Jan,31
2007,Feb,16
2007,Mar,44
2007,Apr,59
2007,May,14
2007,Jun,43
2007,Jul,0
2007,Aug,26
2007,Sep,13
2007,Oct,23
2007,Nov,12
2007,Dec,49
2008,Jan,32
2008,Feb,11
2008,Mar,43
2008,Apr,21
2008,May,21
2008,Jun,11
2008,Jul,22
2008,Aug,22
2008,Sep,49
2008,Oct,18
2008,Nov,51
2008,Dec,0
2009,Jan,0
2009,Feb,59
2009,Mar,27
2009,Apr,18
2009,May,27
2009,Jun,28
2009,Jul,73
2009,Aug,36
2009,Sep,17
2009,Oct,57
2009,Nov,17
2009,Dec,24
2010,Jan,23
2010,Feb,40
2010,Mar,58
2010,Apr,30
2010,May,24
2010,Jun,24
2010,Jul,14
2010,Aug,33
2010,Sep,19
2010,Oct,19
2010,Nov,12
2010,Dec,18
2011,Jan,29
2011,Feb,31
2011,Mar,23
2011,Apr,24
2011,May,9
2011,Jun,10
2011,Jul,24
2011,Aug,36
2011,Sep,27
2011,Oct,21
2011,Nov,38
2011,Dec,16
2012,Jan,27
2012,Feb,15
2012,Mar,30
2012,Apr,20
2012,May,44
2012,Jun,27
2012,Jul,22
2012,Aug,18
2012,Sep,40
2012,Oct,20
2012,Nov,14
2012,Dec,34
2013,Jan,28
2013,Feb,14
2013,Mar,24
2013,Apr,16
2013,May,19
2013,Jun,7
2013,Jul,25
2013,Aug,25
2013,Sep,31
2013,Oct,18
2013,Nov,28
2013,Dec,34
2014,Jan,20
2014,Feb,25
2014,Mar,23
2014,Apr,33
2014,May,41
2014,Jun,28
2014,Jul,24
2014,Aug,20
2014,Sep,10
2014,Oct,18
2014,Nov,20
2014,Dec,33
2015,Jan,16
2015,Feb,7
2015,Mar,16
2015,Apr,23
2015,May,10
2015,Jun,21
2015,Jul,21
2015,Aug,49
2015,Sep,27
2015,Oct,36
2015,Nov,17
2015,Dec,3
2016,Jan,8
2016,Feb,11
2016,Mar,26
2016,Apr,22
2016,May,44
2016,Jun,28
2016,Jul,14
2016,Aug,23
2016,Sep,14
2016,Oct,16
2016,Nov,16
2016,Dec,30
2017,Jan,24
2017,Feb,39
2017,Mar,30
2017,Apr,17
2017,May,25
2017,Jun,16
2017,Jul,37
2017,Aug,23
2017,Sep,17
2017,Oct,14
2017,Nov,12
2017,Dec,22
2018,Jan,23
2018,Feb,18
2018,Mar,9
2018,Apr,14
2018,May,14
2018,Jun,10
2018,Jul,17
2018,Aug,19
2018,Sep,5
2018,Oct,19
2018,Nov,17
2018,Dec,15
2019,Jan,16
2019,Feb,12
2019,Mar,19
2019,Apr,12
2019,May,5
2019,Jun,17
2019,Jul,10
2019,Aug,9
2019,Sep,16
2019,Oct,13
2019,Nov,9
2019,Dec,13
2020,Jan,12
2020,Feb,24
2020,Mar,8
2020,Apr,13
2020,May,9
2020,Jun,18
2020,Jul,20
2020,Aug,16
2020,Sep,16
2020,Oct,11
2020,Nov,7
2020,Dec,16
2021,Jan,26
