Owner:,STANFORD MICHAEL
Cname:,JAMESON STANFORD RESOURCES COR
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,45
2004,Feb,93
2004,Mar,100
2004,Apr,38
2004,May,43
2004,Jun,49
2004,Jul,46
2004,Aug,41
2004,Sep,63
2004,Oct,65
2004,Nov,21
2004,Dec,55
2005,Jan,52
2005,Feb,71
2005,Mar,46
2005,Apr,76
2005,May,48
2005,Jun,40
2005,Jul,36
2005,Aug,40
2005,Sep,47
2005,Oct,54
2005,Nov,45
2005,Dec,41
2006,Jan,68
2006,Feb,57
2006,Mar,45
2006,Apr,33
2006,May,33
2006,Jun,41
2006,Jul,28
2006,Aug,40
2006,Sep,46
2006,Oct,42
2006,Nov,41
2006,Dec,18
2007,Jan,31
2007,Feb,36
2007,Mar,45
2007,Apr,45
2007,May,44
2007,Jun,43
2007,Jul,38
2007,Aug,20
2007,Sep,31
2007,Oct,32
2007,Nov,39
2007,Dec,29
2008,Jan,40
2008,Feb,33
2008,Mar,51
2008,Apr,35
2008,May,31
2008,Jun,30
2008,Jul,27
2008,Aug,33
2008,Sep,33
2008,Oct,32
2008,Nov,27
2008,Dec,39
2009,Jan,34
2009,Feb,41
2009,Mar,46
2009,Apr,40
2009,May,33
2009,Jun,41
2009,Jul,46
2009,Aug,36
2009,Sep,39
2009,Oct,45
2009,Nov,39
2009,Dec,26
2010,Jan,38
2010,Feb,28
2010,Mar,33
2010,Apr,32
2010,May,28
2010,Jun,38
2010,Jul,25
2010,Aug,25
2010,Sep,33
2010,Oct,31
2010,Nov,28
2010,Dec,30
2011,Jan,35
2011,Feb,33
2011,Mar,32
2011,Apr,30
2011,May,26
2011,Jun,30
2011,Jul,23
2011,Aug,30
2011,Sep,31
2011,Oct,39
2011,Nov,35
2011,Dec,28
2012,Jan,36
2012,Feb,40
2012,Mar,32
2012,Apr,31
2012,May,31
2012,Jun,31
2012,Jul,23
2012,Aug,22
2012,Sep,29
2012,Oct,31
2012,Nov,30
2012,Dec,24
2013,Jan,27
2013,Feb,23
2013,Mar,27
2013,Apr,25
2013,May,26
2013,Jun,27
2013,Jul,25
2013,Aug,25
2013,Sep,32
2013,Oct,31
2013,Nov,35
2013,Dec,24
2014,Jan,34
2014,Feb,26
2014,Mar,28
2014,Apr,24
2014,May,29
2014,Jun,25
2014,Jul,27
2014,Aug,25
2014,Sep,32
2014,Oct,32
2014,Nov,25
2014,Dec,25
2015,Jan,21
2015,Feb,21
2015,Mar,22
2015,Apr,30
2015,May,21
2015,Jun,26
2015,Jul,20
2015,Aug,26
2015,Sep,32
2015,Oct,26
2015,Nov,27
2015,Dec,24
2016,Jan,30
2016,Feb,25
2016,Mar,28
2016,Apr,28
2016,May,25
2016,Jun,29
2016,Jul,25
2016,Aug,33
2016,Sep,28
2016,Oct,23
2016,Nov,18
2016,Dec,28
2017,Jan,24
2017,Feb,22
2017,Mar,26
2017,Apr,29
2017,May,21
2017,Jun,19
2017,Jul,23
2017,Aug,23
2017,Sep,26
2017,Oct,24
2017,Nov,22
2017,Dec,22
2018,Jan,27
2018,Feb,18
2018,Mar,26
2018,Apr,25
2018,May,21
2018,Jun,22
2018,Jul,18
2018,Aug,22
2018,Sep,23
2018,Oct,27
2018,Nov,21
2018,Dec,23
2019,Jan,19
2019,Feb,19
2019,Mar,23
2019,Apr,21
2019,May,19
2019,Jun,18
2019,Jul,19
2019,Aug,17
2019,Sep,19
2019,Oct,21
2019,Nov,21
2019,Dec,30
2020,Jan,23
2020,Feb,22
2020,Mar,36
2020,Apr,23
2020,May,26
2020,Jun,22
2020,Jul,27
2020,Aug,20
2020,Sep,16
2020,Oct,14
2020,Nov,18
2020,Dec,17
2021,Jan,9
