Owner:,STERN JASON
Cname:,SELECTICA INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,49
2004,Feb,24
2004,Mar,30
2004,Apr,35
2004,May,21
2004,Jun,0
2004,Jul,33
2004,Aug,40
2004,Sep,29
2004,Oct,20
2004,Nov,10
2004,Dec,9
2005,Jan,8
2005,Feb,8
2005,Mar,7
2005,Apr,40
2005,May,22
2005,Jun,7
2005,Jul,29
2005,Aug,14
2005,Sep,19
2005,Oct,6
2005,Nov,6
2005,Dec,6
2006,Jan,31
2006,Feb,11
2006,Mar,29
2006,Apr,10
2006,May,5
2006,Jun,20
2006,Jul,10
2006,Aug,22
2006,Sep,27
2006,Oct,12
2006,Nov,16
2006,Dec,4
2007,Jan,11
2007,Feb,23
2007,Mar,17
2007,Apr,21
2007,May,22
2007,Jun,10
2007,Jul,19
2007,Aug,18
2007,Sep,42
2007,Oct,22
2007,Nov,14
2007,Dec,20
2008,Jan,25
2008,Feb,21
2008,Mar,48
2008,Apr,42
2008,May,30
2008,Jun,21
2008,Jul,10
2008,Aug,32
2008,Sep,21
2008,Oct,19
2008,Nov,26
2008,Dec,18
2009,Jan,20
2009,Feb,11
2009,Mar,8
2009,Apr,19
2009,May,17
2009,Jun,56
2009,Jul,23
2009,Aug,27
2009,Sep,10
2009,Oct,20
2009,Nov,26
2009,Dec,30
2010,Jan,17
2010,Feb,39
2010,Mar,21
2010,Apr,16
2010,May,15
2010,Jun,12
2010,Jul,27
2010,Aug,14
2010,Sep,20
2010,Oct,18
2010,Nov,10
2010,Dec,10
2011,Jan,16
2011,Feb,18
2011,Mar,19
2011,Apr,100
2011,May,18
2011,Jun,26
2011,Jul,17
2011,Aug,13
2011,Sep,16
2011,Oct,12
2011,Nov,27
2011,Dec,51
2012,Jan,29
2012,Feb,12
2012,Mar,39
2012,Apr,23
2012,May,38
2012,Jun,23
2012,Jul,17
2012,Aug,14
2012,Sep,26
2012,Oct,23
2012,Nov,23
2012,Dec,20
2013,Jan,37
2013,Feb,31
2013,Mar,16
2013,Apr,22
2013,May,20
2013,Jun,25
2013,Jul,12
2013,Aug,62
2013,Sep,18
2013,Oct,19
2013,Nov,16
2013,Dec,15
2014,Jan,15
2014,Feb,25
2014,Mar,19
2014,Apr,16
2014,May,26
2014,Jun,28
2014,Jul,18
2014,Aug,13
2014,Sep,19
2014,Oct,19
2014,Nov,10
2014,Dec,13
2015,Jan,24
2015,Feb,10
2015,Mar,18
2015,Apr,20
2015,May,14
2015,Jun,44
2015,Jul,54
2015,Aug,19
2015,Sep,17
2015,Oct,13
2015,Nov,11
2015,Dec,22
2016,Jan,13
2016,Feb,19
2016,Mar,23
2016,Apr,13
2016,May,13
2016,Jun,25
2016,Jul,29
2016,Aug,17
2016,Sep,26
2016,Oct,29
2016,Nov,35
2016,Dec,13
2017,Jan,17
2017,Feb,28
2017,Mar,17
2017,Apr,41
2017,May,32
2017,Jun,16
2017,Jul,33
2017,Aug,23
2017,Sep,13
2017,Oct,18
2017,Nov,17
2017,Dec,15
2018,Jan,18
2018,Feb,27
2018,Mar,18
2018,Apr,15
2018,May,18
2018,Jun,17
2018,Jul,16
2018,Aug,11
2018,Sep,17
2018,Oct,15
2018,Nov,11
2018,Dec,14
2019,Jan,12
2019,Feb,11
2019,Mar,30
2019,Apr,43
2019,May,18
2019,Jun,14
2019,Jul,17
2019,Aug,14
2019,Sep,17
2019,Oct,17
2019,Nov,12
2019,Dec,15
2020,Jan,27
2020,Feb,17
2020,Mar,13
2020,Apr,10
2020,May,14
2020,Jun,11
2020,Jul,11
2020,Aug,13
2020,Sep,11
2020,Oct,11
2020,Nov,13
2020,Dec,11
2021,Jan,18
