Owner:,STRAUSS MICHAEL
Cname:,AMERICAN HOME MORTGAGE INVESTM
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,32
2004,Feb,47
2004,Mar,40
2004,Apr,46
2004,May,56
2004,Jun,14
2004,Jul,15
2004,Aug,40
2004,Sep,38
2004,Oct,39
2004,Nov,40
2004,Dec,36
2005,Jan,42
2005,Feb,44
2005,Mar,19
2005,Apr,32
2005,May,48
2005,Jun,10
2005,Jul,39
2005,Aug,27
2005,Sep,42
2005,Oct,32
2005,Nov,24
2005,Dec,46
2006,Jan,34
2006,Feb,7
2006,Mar,38
2006,Apr,40
2006,May,50
2006,Jun,53
2006,Jul,39
2006,Aug,41
2006,Sep,30
2006,Oct,32
2006,Nov,27
2006,Dec,11
2007,Jan,38
2007,Feb,40
2007,Mar,18
2007,Apr,32
2007,May,29
2007,Jun,49
2007,Jul,38
2007,Aug,100
2007,Sep,24
2007,Oct,54
2007,Nov,47
2007,Dec,22
2008,Jan,16
2008,Feb,27
2008,Mar,17
2008,Apr,29
2008,May,33
2008,Jun,31
2008,Jul,20
2008,Aug,30
2008,Sep,9
2008,Oct,36
2008,Nov,34
2008,Dec,21
2009,Jan,32
2009,Feb,39
2009,Mar,22
2009,Apr,25
2009,May,20
2009,Jun,31
2009,Jul,34
2009,Aug,22
2009,Sep,32
2009,Oct,45
2009,Nov,18
2009,Dec,30
2010,Jan,31
2010,Feb,25
2010,Mar,23
2010,Apr,19
2010,May,20
2010,Jun,25
2010,Jul,15
2010,Aug,21
2010,Sep,22
2010,Oct,23
2010,Nov,23
2010,Dec,17
2011,Jan,25
2011,Feb,24
2011,Mar,20
2011,Apr,23
2011,May,37
2011,Jun,21
2011,Jul,25
2011,Aug,12
2011,Sep,26
2011,Oct,21
2011,Nov,28
2011,Dec,27
2012,Jan,23
2012,Feb,23
2012,Mar,30
2012,Apr,15
2012,May,17
2012,Jun,36
2012,Jul,21
2012,Aug,17
2012,Sep,25
2012,Oct,18
2012,Nov,14
2012,Dec,13
2013,Jan,34
2013,Feb,12
2013,Mar,30
2013,Apr,18
2013,May,27
2013,Jun,21
2013,Jul,16
2013,Aug,16
2013,Sep,28
2013,Oct,32
2013,Nov,32
2013,Dec,18
2014,Jan,13
2014,Feb,22
2014,Mar,21
2014,Apr,13
2014,May,19
2014,Jun,15
2014,Jul,17
2014,Aug,18
2014,Sep,18
2014,Oct,20
2014,Nov,19
2014,Dec,16
2015,Jan,14
2015,Feb,14
2015,Mar,24
2015,Apr,15
2015,May,17
2015,Jun,15
2015,Jul,24
2015,Aug,14
2015,Sep,20
2015,Oct,18
2015,Nov,19
2015,Dec,12
2016,Jan,17
2016,Feb,16
2016,Mar,18
2016,Apr,15
2016,May,15
2016,Jun,12
2016,Jul,16
2016,Aug,19
2016,Sep,15
2016,Oct,20
2016,Nov,14
2016,Dec,16
2017,Jan,15
2017,Feb,18
2017,Mar,16
2017,Apr,16
2017,May,9
2017,Jun,13
2017,Jul,10
2017,Aug,14
2017,Sep,13
2017,Oct,17
2017,Nov,14
2017,Dec,8
2018,Jan,21
2018,Feb,15
2018,Mar,16
2018,Apr,21
2018,May,14
2018,Jun,13
2018,Jul,20
2018,Aug,16
2018,Sep,18
2018,Oct,20
2018,Nov,15
2018,Dec,25
2019,Jan,12
2019,Feb,16
2019,Mar,19
2019,Apr,19
2019,May,17
2019,Jun,11
2019,Jul,13
2019,Aug,14
2019,Sep,11
2019,Oct,16
2019,Nov,12
2019,Dec,12
2020,Jan,18
2020,Feb,14
2020,Mar,7
2020,Apr,14
2020,May,8
2020,Jun,11
2020,Jul,18
2020,Aug,11
2020,Sep,11
2020,Oct,11
2020,Nov,9
2020,Dec,9
2021,Jan,8
