Owner:,THOMAS DAVID M
Cname:,IMS HEALTH INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,49
2004,Mar,0
2004,Apr,47
2004,May,0
2004,Jun,22
2004,Jul,23
2004,Aug,21
2004,Sep,20
2004,Oct,81
2004,Nov,21
2004,Dec,18
2005,Jan,16
2005,Feb,0
2005,Mar,14
2005,Apr,33
2005,May,30
2005,Jun,30
2005,Jul,30
2005,Aug,28
2005,Sep,39
2005,Oct,49
2005,Nov,0
2005,Dec,12
2006,Jan,42
2006,Feb,22
2006,Mar,49
2006,Apr,31
2006,May,39
2006,Jun,10
2006,Jul,10
2006,Aug,27
2006,Sep,27
2006,Oct,25
2006,Nov,41
2006,Dec,0
2007,Jan,29
2007,Feb,8
2007,Mar,0
2007,Apr,35
2007,May,39
2007,Jun,7
2007,Jul,19
2007,Aug,12
2007,Sep,12
2007,Oct,28
2007,Nov,22
2007,Dec,6
2008,Jan,41
2008,Feb,16
2008,Mar,10
2008,Apr,20
2008,May,20
2008,Jun,11
2008,Jul,10
2008,Aug,10
2008,Sep,23
2008,Oct,4
2008,Nov,19
2008,Dec,14
2009,Jan,36
2009,Feb,23
2009,Mar,25
2009,Apr,26
2009,May,17
2009,Jun,18
2009,Jul,13
2009,Aug,25
2009,Sep,4
2009,Oct,23
2009,Nov,4
2009,Dec,23
2010,Jan,15
2010,Feb,19
2010,Mar,17
2010,Apr,25
2010,May,15
2010,Jun,4
2010,Jul,17
2010,Aug,25
2010,Sep,18
2010,Oct,18
2010,Nov,12
2010,Dec,6
2011,Jan,7
2011,Feb,17
2011,Mar,7
2011,Apr,9
2011,May,16
2011,Jun,16
2011,Jul,11
2011,Aug,15
2011,Sep,8
2011,Oct,14
2011,Nov,8
2011,Dec,23
2012,Jan,9
2012,Feb,18
2012,Mar,21
2012,Apr,15
2012,May,23
2012,Jun,13
2012,Jul,25
2012,Aug,21
2012,Sep,7
2012,Oct,18
2012,Nov,20
2012,Dec,13
2013,Jan,6
2013,Feb,16
2013,Mar,20
2013,Apr,14
2013,May,12
2013,Jun,16
2013,Jul,15
2013,Aug,15
2013,Sep,7
2013,Oct,17
2013,Nov,7
2013,Dec,12
2014,Jan,22
2014,Feb,11
2014,Mar,14
2014,Apr,20
2014,May,20
2014,Jun,15
2014,Jul,8
2014,Aug,24
2014,Sep,16
2014,Oct,27
2014,Nov,25
2014,Dec,11
2015,Jan,12
2015,Feb,13
2015,Mar,15
2015,Apr,19
2015,May,18
2015,Jun,13
2015,Jul,21
2015,Aug,11
2015,Sep,12
2015,Oct,19
2015,Nov,8
2015,Dec,6
2016,Jan,9
2016,Feb,16
2016,Mar,11
2016,Apr,17
2016,May,15
2016,Jun,10
2016,Jul,8
2016,Aug,10
2016,Sep,12
2016,Oct,14
2016,Nov,14
2016,Dec,6
2017,Jan,8
2017,Feb,8
2017,Mar,12
2017,Apr,9
2017,May,5
2017,Jun,6
2017,Jul,10
2017,Aug,14
2017,Sep,18
2017,Oct,13
2017,Nov,7
2017,Dec,7
2018,Jan,18
2018,Feb,10
2018,Mar,5
2018,Apr,9
2018,May,13
2018,Jun,10
2018,Jul,10
2018,Aug,5
2018,Sep,4
2018,Oct,77
2018,Nov,100
2018,Dec,5
2019,Jan,8
2019,Feb,9
2019,Mar,8
2019,Apr,8
2019,May,16
2019,Jun,10
2019,Jul,14
2019,Aug,9
2019,Sep,5
2019,Oct,7
2019,Nov,12
2019,Dec,4
2020,Jan,9
2020,Feb,3
2020,Mar,3
2020,Apr,5
2020,May,28
2020,Jun,16
2020,Jul,7
2020,Aug,19
2020,Sep,9
2020,Oct,59
2020,Nov,8
2020,Dec,6
2021,Jan,4
