Owner:,THOMAS JOHN T
Cname:,PHYSICIANS REALTY TRUST
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,53
2004,Feb,52
2004,Mar,100
2004,Apr,51
2004,May,69
2004,Jun,47
2004,Jul,24
2004,Aug,44
2004,Sep,0
2004,Oct,43
2004,Nov,44
2004,Dec,0
2005,Jan,69
2005,Feb,0
2005,Mar,77
2005,Apr,18
2005,May,63
2005,Jun,65
2005,Jul,64
2005,Aug,30
2005,Sep,28
2005,Oct,13
2005,Nov,67
2005,Dec,25
2006,Jan,91
2006,Feb,70
2006,Mar,42
2006,Apr,44
2006,May,52
2006,Jun,44
2006,Jul,21
2006,Aug,49
2006,Sep,49
2006,Oct,9
2006,Nov,27
2006,Dec,18
2007,Jan,39
2007,Feb,25
2007,Mar,37
2007,Apr,53
2007,May,28
2007,Jun,44
2007,Jul,35
2007,Aug,20
2007,Sep,27
2007,Oct,30
2007,Nov,36
2007,Dec,31
2008,Jan,27
2008,Feb,28
2008,Mar,22
2008,Apr,32
2008,May,38
2008,Jun,40
2008,Jul,44
2008,Aug,44
2008,Sep,35
2008,Oct,42
2008,Nov,36
2008,Dec,35
2009,Jan,38
2009,Feb,25
2009,Mar,36
2009,Apr,32
2009,May,42
2009,Jun,38
2009,Jul,9
2009,Aug,18
2009,Sep,31
2009,Oct,65
2009,Nov,21
2009,Dec,29
2010,Jan,39
2010,Feb,36
2010,Mar,29
2010,Apr,64
2010,May,43
2010,Jun,20
2010,Jul,66
2010,Aug,50
2010,Sep,10
2010,Oct,28
2010,Nov,21
2010,Dec,21
2011,Jan,55
2011,Feb,29
2011,Mar,26
2011,Apr,17
2011,May,31
2011,Jun,34
2011,Jul,14
2011,Aug,20
2011,Sep,42
2011,Oct,44
2011,Nov,40
2011,Dec,18
2012,Jan,46
2012,Feb,21
2012,Mar,39
2012,Apr,29
2012,May,43
2012,Jun,21
2012,Jul,22
2012,Aug,38
2012,Sep,35
2012,Oct,25
2012,Nov,38
2012,Dec,15
2013,Jan,16
2013,Feb,13
2013,Mar,32
2013,Apr,25
2013,May,27
2013,Jun,18
2013,Jul,24
2013,Aug,28
2013,Sep,20
2013,Oct,19
2013,Nov,32
2013,Dec,27
2014,Jan,26
2014,Feb,30
2014,Mar,30
2014,Apr,16
2014,May,28
2014,Jun,26
2014,Jul,14
2014,Aug,37
2014,Sep,21
2014,Oct,14
2014,Nov,28
2014,Dec,26
2015,Jan,28
2015,Feb,31
2015,Mar,21
2015,Apr,29
2015,May,28
2015,Jun,24
2015,Jul,28
2015,Aug,29
2015,Sep,16
2015,Oct,26
2015,Nov,39
2015,Dec,21
2016,Jan,23
2016,Feb,35
2016,Mar,26
2016,Apr,25
2016,May,19
2016,Jun,19
2016,Jul,21
2016,Aug,17
2016,Sep,13
2016,Oct,20
2016,Nov,30
2016,Dec,36
2017,Jan,32
2017,Feb,28
2017,Mar,20
2017,Apr,25
2017,May,15
2017,Jun,14
2017,Jul,15
2017,Aug,17
2017,Sep,15
2017,Oct,24
2017,Nov,21
2017,Dec,21
2018,Jan,28
2018,Feb,23
2018,Mar,23
2018,Apr,11
2018,May,29
2018,Jun,11
2018,Jul,15
2018,Aug,9
2018,Sep,22
2018,Oct,23
2018,Nov,24
2018,Dec,28
2019,Jan,26
2019,Feb,17
2019,Mar,19
2019,Apr,18
2019,May,17
2019,Jun,14
2019,Jul,16
2019,Aug,16
2019,Sep,24
2019,Oct,16
2019,Nov,18
2019,Dec,18
2020,Jan,17
2020,Feb,26
2020,Mar,24
2020,Apr,24
2020,May,13
2020,Jun,22
2020,Jul,24
2020,Aug,17
2020,Sep,22
2020,Oct,21
2020,Nov,20
2020,Dec,19
2021,Jan,17
