Owner:,THOMAS MICHAEL E
Cname:,CHROMCRAFT REVINGTON INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,67
2004,Feb,99
2004,Mar,42
2004,Apr,32
2004,May,0
2004,Jun,0
2004,Jul,62
2004,Aug,0
2004,Sep,79
2004,Oct,82
2004,Nov,84
2004,Dec,0
2005,Jan,44
2005,Feb,0
2005,Mar,39
2005,Apr,45
2005,May,100
2005,Jun,62
2005,Jul,40
2005,Aug,38
2005,Sep,88
2005,Oct,33
2005,Nov,51
2005,Dec,16
2006,Jan,0
2006,Feb,59
2006,Mar,26
2006,Apr,41
2006,May,65
2006,Jun,28
2006,Jul,27
2006,Aug,12
2006,Sep,0
2006,Oct,23
2006,Nov,22
2006,Dec,34
2007,Jan,20
2007,Feb,21
2007,Mar,19
2007,Apr,10
2007,May,17
2007,Jun,37
2007,Jul,26
2007,Aug,8
2007,Sep,25
2007,Oct,8
2007,Nov,30
2007,Dec,31
2008,Jan,27
2008,Feb,14
2008,Mar,14
2008,Apr,14
2008,May,14
2008,Jun,29
2008,Jul,0
2008,Aug,0
2008,Sep,19
2008,Oct,18
2008,Nov,45
2008,Dec,13
2009,Jan,36
2009,Feb,19
2009,Mar,17
2009,Apr,17
2009,May,6
2009,Jun,53
2009,Jul,18
2009,Aug,34
2009,Sep,33
2009,Oct,28
2009,Nov,6
2009,Dec,11
2010,Jan,16
2010,Feb,11
2010,Mar,15
2010,Apr,21
2010,May,5
2010,Jun,27
2010,Jul,24
2010,Aug,23
2010,Sep,9
2010,Oct,22
2010,Nov,21
2010,Dec,8
2011,Jan,20
2011,Feb,14
2011,Mar,3
2011,Apr,7
2011,May,10
2011,Jun,3
2011,Jul,39
2011,Aug,18
2011,Sep,27
2011,Oct,14
2011,Nov,23
2011,Dec,6
2012,Jan,21
2012,Feb,8
2012,Mar,15
2012,Apr,8
2012,May,8
2012,Jun,5
2012,Jul,5
2012,Aug,22
2012,Sep,22
2012,Oct,14
2012,Nov,17
2012,Dec,14
2013,Jan,24
2013,Feb,9
2013,Mar,13
2013,Apr,13
2013,May,19
2013,Jun,29
2013,Jul,15
2013,Aug,19
2013,Sep,15
2013,Oct,18
2013,Nov,4
2013,Dec,17
2014,Jan,30
2014,Feb,26
2014,Mar,12
2014,Apr,14
2014,May,22
2014,Jun,19
2014,Jul,21
2014,Aug,21
2014,Sep,16
2014,Oct,19
2014,Nov,11
2014,Dec,9
2015,Jan,28
2015,Feb,18
2015,Mar,13
2015,Apr,11
2015,May,16
2015,Jun,12
2015,Jul,19
2015,Aug,32
2015,Sep,16
2015,Oct,14
2015,Nov,20
2015,Dec,18
2016,Jan,16
2016,Feb,17
2016,Mar,11
2016,Apr,21
2016,May,16
2016,Jun,20
2016,Jul,15
2016,Aug,17
2016,Sep,8
2016,Oct,16
2016,Nov,19
2016,Dec,14
2017,Jan,17
2017,Feb,22
2017,Mar,21
2017,Apr,6
2017,May,20
2017,Jun,16
2017,Jul,14
2017,Aug,30
2017,Sep,13
2017,Oct,10
2017,Nov,25
2017,Dec,12
2018,Jan,10
2018,Feb,12
2018,Mar,7
2018,Apr,16
2018,May,11
2018,Jun,17
2018,Jul,15
2018,Aug,9
2018,Sep,15
2018,Oct,19
2018,Nov,19
2018,Dec,6
2019,Jan,15
2019,Feb,15
2019,Mar,13
2019,Apr,13
2019,May,9
2019,Jun,19
2019,Jul,15
2019,Aug,17
2019,Sep,10
2019,Oct,13
2019,Nov,15
2019,Dec,12
2020,Jan,17
2020,Feb,17
2020,Mar,9
2020,Apr,8
2020,May,10
2020,Jun,18
2020,Jul,11
2020,Aug,16
2020,Sep,7
2020,Oct,58
2020,Nov,16
2020,Dec,11
2021,Jan,9
