Owner:,TRACY JAMES A
Cname:,COGENTIX MEDICAL INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,50
2004,Feb,0
2004,Mar,0
2004,Apr,47
2004,May,0
2004,Jun,0
2004,Jul,91
2004,Aug,0
2004,Sep,79
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,29
2005,Apr,33
2005,May,59
2005,Jun,30
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,50
2005,Dec,0
2006,Jan,42
2006,Feb,0
2006,Mar,0
2006,Apr,20
2006,May,39
2006,Jun,41
2006,Jul,0
2006,Aug,18
2006,Sep,0
2006,Oct,17
2006,Nov,33
2006,Dec,17
2007,Jan,15
2007,Feb,15
2007,Mar,14
2007,Apr,28
2007,May,26
2007,Jun,28
2007,Jul,52
2007,Aug,37
2007,Sep,12
2007,Oct,11
2007,Nov,11
2007,Dec,12
2008,Jan,10
2008,Feb,21
2008,Mar,51
2008,Apr,0
2008,May,0
2008,Jun,32
2008,Jul,10
2008,Aug,20
2008,Sep,9
2008,Oct,9
2008,Nov,19
2008,Dec,19
2009,Jan,9
2009,Feb,19
2009,Mar,25
2009,Apr,9
2009,May,17
2009,Jun,9
2009,Jul,9
2009,Aug,0
2009,Sep,16
2009,Oct,9
2009,Nov,0
2009,Dec,9
2010,Jan,16
2010,Feb,8
2010,Mar,38
2010,Apr,32
2010,May,33
2010,Jun,0
2010,Jul,7
2010,Aug,14
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,6
2011,Jan,15
2011,Feb,11
2011,Mar,10
2011,Apr,15
2011,May,10
2011,Jun,10
2011,Jul,5
2011,Aug,19
2011,Sep,0
2011,Oct,18
2011,Nov,18
2011,Dec,13
2012,Jan,20
2012,Feb,8
2012,Mar,16
2012,Apr,0
2012,May,16
2012,Jun,8
2012,Jul,20
2012,Aug,15
2012,Sep,8
2012,Oct,7
2012,Nov,11
2012,Dec,14
2013,Jan,27
2013,Feb,4
2013,Mar,10
2013,Apr,13
2013,May,7
2013,Jun,7
2013,Jul,7
2013,Aug,10
2013,Sep,16
2013,Oct,22
2013,Nov,13
2013,Dec,16
2014,Jan,21
2014,Feb,23
2014,Mar,6
2014,Apr,25
2014,May,13
2014,Jun,100
2014,Jul,0
2014,Aug,7
2014,Sep,14
2014,Oct,13
2014,Nov,24
2014,Dec,17
2015,Jan,10
2015,Feb,10
2015,Mar,17
2015,Apr,3
2015,May,14
2015,Jun,26
2015,Jul,13
2015,Aug,13
2015,Sep,9
2015,Oct,23
2015,Nov,24
2015,Dec,9
2016,Jan,24
2016,Feb,10
2016,Mar,26
2016,Apr,20
2016,May,17
2016,Jun,23
2016,Jul,5
2016,Aug,5
2016,Sep,15
2016,Oct,5
2016,Nov,17
2016,Dec,21
2017,Jan,15
2017,Feb,19
2017,Mar,11
2017,Apr,11
2017,May,18
2017,Jun,5
2017,Jul,17
2017,Aug,11
2017,Sep,23
2017,Oct,18
2017,Nov,4
2017,Dec,4
2018,Jan,17
2018,Feb,9
2018,Mar,19
2018,Apr,9
2018,May,21
2018,Jun,18
2018,Jul,5
2018,Aug,9
2018,Sep,4
2018,Oct,11
2018,Nov,24
2018,Dec,13
2019,Jan,8
2019,Feb,14
2019,Mar,6
2019,Apr,7
2019,May,11
2019,Jun,18
2019,Jul,13
2019,Aug,17
2019,Sep,10
2019,Oct,10
2019,Nov,14
2019,Dec,22
2020,Jan,15
2020,Feb,10
2020,Mar,7
2020,Apr,26
2020,May,15
2020,Jun,11
2020,Jul,7
2020,Aug,7
2020,Sep,11
2020,Oct,12
2020,Nov,26
2020,Dec,14
2021,Jan,18
