Owner:,WALSH MICHAEL A
Cname:,CYBERSOURCE CORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,56
2005,Sep,0
2005,Oct,0
2005,Nov,100
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,38
2006,Jun,41
2006,Jul,0
2006,Aug,0
2006,Sep,73
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,29
2007,Feb,0
2007,Mar,28
2007,Apr,28
2007,May,26
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,25
2007,Oct,0
2007,Nov,67
2007,Dec,0
2008,Jan,0
2008,Feb,63
2008,Mar,20
2008,Apr,0
2008,May,0
2008,Jun,22
2008,Jul,0
2008,Aug,61
2008,Sep,37
2008,Oct,35
2008,Nov,19
2008,Dec,19
2009,Jan,0
2009,Feb,0
2009,Mar,17
2009,Apr,0
2009,May,52
2009,Jun,0
2009,Jul,86
2009,Aug,34
2009,Sep,16
2009,Oct,31
2009,Nov,16
2009,Dec,16
2010,Jan,15
2010,Feb,15
2010,Mar,14
2010,Apr,29
2010,May,15
2010,Jun,15
2010,Jul,13
2010,Aug,25
2010,Sep,12
2010,Oct,24
2010,Nov,24
2010,Dec,23
2011,Jan,46
2011,Feb,40
2011,Mar,18
2011,Apr,37
2011,May,27
2011,Jun,9
2011,Jul,27
2011,Aug,26
2011,Sep,42
2011,Oct,8
2011,Nov,0
2011,Dec,23
2012,Jan,37
2012,Feb,22
2012,Mar,14
2012,Apr,8
2012,May,21
2012,Jun,30
2012,Jul,28
2012,Aug,21
2012,Sep,21
2012,Oct,13
2012,Nov,0
2012,Dec,6
2013,Jan,36
2013,Feb,26
2013,Mar,35
2013,Apr,18
2013,May,6
2013,Jun,19
2013,Jul,12
2013,Aug,24
2013,Sep,30
2013,Oct,17
2013,Nov,18
2013,Dec,17
2014,Jan,11
2014,Feb,6
2014,Mar,11
2014,Apr,17
2014,May,18
2014,Jun,20
2014,Jul,20
2014,Aug,13
2014,Sep,12
2014,Oct,12
2014,Nov,25
2014,Dec,25
2015,Jan,12
2015,Feb,32
2015,Mar,0
2015,Apr,25
2015,May,26
2015,Jun,7
2015,Jul,19
2015,Aug,25
2015,Sep,18
2015,Oct,12
2015,Nov,0
2015,Dec,35
2016,Jan,24
2016,Feb,15
2016,Mar,24
2016,Apr,10
2016,May,15
2016,Jun,26
2016,Jul,26
2016,Aug,93
2016,Sep,30
2016,Oct,14
2016,Nov,5
2016,Dec,23
2017,Jan,13
2017,Feb,33
2017,Mar,17
2017,Apr,9
2017,May,27
2017,Jun,0
2017,Jul,5
2017,Aug,32
2017,Sep,27
2017,Oct,22
2017,Nov,18
2017,Dec,18
2018,Jan,17
2018,Feb,28
2018,Mar,17
2018,Apr,13
2018,May,17
2018,Jun,5
2018,Jul,13
2018,Aug,18
2018,Sep,9
2018,Oct,30
2018,Nov,39
2018,Dec,17
2019,Jan,17
2019,Feb,9
2019,Mar,13
2019,Apr,13
2019,May,13
2019,Jun,31
2019,Jul,18
2019,Aug,13
2019,Sep,16
2019,Oct,23
2019,Nov,20
2019,Dec,16
2020,Jan,23
2020,Feb,12
2020,Mar,7
2020,Apr,31
2020,May,27
2020,Jun,15
2020,Jul,18
2020,Aug,18
2020,Sep,11
2020,Oct,8
2020,Nov,8
2020,Dec,0
2021,Jan,20
