Owner:,WAYNE RICHARD
Cname:,NORTHEAST BANCORP
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,42
2004,Feb,86
2004,Mar,58
2004,Apr,35
2004,May,77
2004,Jun,78
2004,Jul,72
2004,Aug,76
2004,Sep,73
2004,Oct,71
2004,Nov,100
2004,Dec,38
2005,Jan,57
2005,Feb,69
2005,Mar,64
2005,Apr,65
2005,May,77
2005,Jun,65
2005,Jul,70
2005,Aug,65
2005,Sep,61
2005,Oct,39
2005,Nov,68
2005,Dec,57
2006,Jan,51
2006,Feb,61
2006,Mar,72
2006,Apr,59
2006,May,68
2006,Jun,57
2006,Jul,55
2006,Aug,57
2006,Sep,53
2006,Oct,67
2006,Nov,55
2006,Dec,59
2007,Jan,50
2007,Feb,53
2007,Mar,56
2007,Apr,47
2007,May,54
2007,Jun,38
2007,Jul,57
2007,Aug,75
2007,Sep,55
2007,Oct,32
2007,Nov,52
2007,Dec,45
2008,Jan,60
2008,Feb,45
2008,Mar,52
2008,Apr,51
2008,May,47
2008,Jun,43
2008,Jul,38
2008,Aug,56
2008,Sep,60
2008,Oct,58
2008,Nov,61
2008,Dec,44
2009,Jan,54
2009,Feb,45
2009,Mar,49
2009,Apr,49
2009,May,58
2009,Jun,45
2009,Jul,60
2009,Aug,60
2009,Sep,41
2009,Oct,42
2009,Nov,43
2009,Dec,50
2010,Jan,48
2010,Feb,43
2010,Mar,47
2010,Apr,41
2010,May,37
2010,Jun,53
2010,Jul,46
2010,Aug,45
2010,Sep,49
2010,Oct,45
2010,Nov,47
2010,Dec,37
2011,Jan,48
2011,Feb,45
2011,Mar,41
2011,Apr,43
2011,May,34
2011,Jun,57
2011,Jul,47
2011,Aug,50
2011,Sep,49
2011,Oct,38
2011,Nov,40
2011,Dec,46
2012,Jan,40
2012,Feb,40
2012,Mar,42
2012,Apr,41
2012,May,44
2012,Jun,42
2012,Jul,44
2012,Aug,39
2012,Sep,47
2012,Oct,43
2012,Nov,37
2012,Dec,37
2013,Jan,90
2013,Feb,40
2013,Mar,42
2013,Apr,44
2013,May,45
2013,Jun,46
2013,Jul,45
2013,Aug,42
2013,Sep,44
2013,Oct,42
2013,Nov,40
2013,Dec,39
2014,Jan,52
2014,Feb,45
2014,Mar,38
2014,Apr,31
2014,May,36
2014,Jun,40
2014,Jul,37
2014,Aug,40
2014,Sep,39
2014,Oct,38
2014,Nov,67
2014,Dec,43
2015,Jan,41
2015,Feb,38
2015,Mar,46
2015,Apr,40
2015,May,40
2015,Jun,44
2015,Jul,41
2015,Aug,38
2015,Sep,42
2015,Oct,61
2015,Nov,51
2015,Dec,35
2016,Jan,39
2016,Feb,34
2016,Mar,38
2016,Apr,35
2016,May,41
2016,Jun,33
2016,Jul,33
2016,Aug,32
2016,Sep,32
2016,Oct,47
2016,Nov,35
2016,Dec,33
2017,Jan,38
2017,Feb,34
2017,Mar,34
2017,Apr,31
2017,May,37
2017,Jun,33
2017,Jul,34
2017,Aug,33
2017,Sep,31
2017,Oct,36
2017,Nov,28
2017,Dec,31
2018,Jan,30
2018,Feb,33
2018,Mar,34
2018,Apr,35
2018,May,26
2018,Jun,36
2018,Jul,34
2018,Aug,32
2018,Sep,38
2018,Oct,32
2018,Nov,29
2018,Dec,32
2019,Jan,38
2019,Feb,32
2019,Mar,36
2019,Apr,30
2019,May,32
2019,Jun,26
2019,Jul,36
2019,Aug,46
2019,Sep,31
2019,Oct,32
2019,Nov,31
2019,Dec,66
2020,Jan,32
2020,Feb,34
2020,Mar,28
2020,Apr,29
2020,May,45
2020,Jun,41
2020,Jul,39
2020,Aug,33
2020,Sep,26
2020,Oct,39
2020,Nov,30
2020,Dec,35
2021,Jan,42
