Owner:,WEISSMAN SCOTT
Cname:,LEGAL LIFE PLANS INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,100
2004,Aug,0
2004,Sep,29
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,24
2005,Feb,25
2005,Mar,21
2005,Apr,24
2005,May,0
2005,Jun,0
2005,Jul,22
2005,Aug,0
2005,Sep,19
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,14
2006,Apr,15
2006,May,14
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,12
2006,Nov,12
2006,Dec,0
2007,Jan,11
2007,Feb,0
2007,Mar,10
2007,Apr,10
2007,May,9
2007,Jun,0
2007,Jul,38
2007,Aug,18
2007,Sep,36
2007,Oct,8
2007,Nov,8
2007,Dec,8
2008,Jan,0
2008,Feb,8
2008,Mar,30
2008,Apr,7
2008,May,22
2008,Jun,16
2008,Jul,8
2008,Aug,7
2008,Sep,21
2008,Oct,0
2008,Nov,14
2008,Dec,7
2009,Jan,26
2009,Feb,0
2009,Mar,6
2009,Apr,19
2009,May,6
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,18
2009,Oct,0
2009,Nov,31
2009,Dec,6
2010,Jan,12
2010,Feb,12
2010,Mar,5
2010,Apr,6
2010,May,0
2010,Jun,6
2010,Jul,5
2010,Aug,0
2010,Sep,14
2010,Oct,0
2010,Nov,5
2010,Dec,5
2011,Jan,4
2011,Feb,4
2011,Mar,3
2011,Apr,4
2011,May,7
2011,Jun,11
2011,Jul,4
2011,Aug,13
2011,Sep,0
2011,Oct,15
2011,Nov,9
2011,Dec,0
2012,Jan,0
2012,Feb,14
2012,Mar,0
2012,Apr,3
2012,May,6
2012,Jun,9
2012,Jul,3
2012,Aug,3
2012,Sep,5
2012,Oct,0
2012,Nov,0
2012,Dec,8
2013,Jan,5
2013,Feb,5
2013,Mar,2
2013,Apr,0
2013,May,5
2013,Jun,2
2013,Jul,7
2013,Aug,5
2013,Sep,7
2013,Oct,9
2013,Nov,11
2013,Dec,11
2014,Jan,2
2014,Feb,5
2014,Mar,6
2014,Apr,11
2014,May,5
2014,Jun,5
2014,Jul,5
2014,Aug,13
2014,Sep,12
2014,Oct,5
2014,Nov,12
2014,Dec,2
2015,Jan,9
2015,Feb,5
2015,Mar,9
2015,Apr,2
2015,May,5
2015,Jun,3
2015,Jul,9
2015,Aug,12
2015,Sep,14
2015,Oct,11
2015,Nov,7
2015,Dec,11
2016,Jan,2
2016,Feb,7
2016,Mar,10
2016,Apr,2
2016,May,11
2016,Jun,6
2016,Jul,6
2016,Aug,10
2016,Sep,9
2016,Oct,4
2016,Nov,5
2016,Dec,5
2017,Jan,8
2017,Feb,5
2017,Mar,5
2017,Apr,5
2017,May,37
2017,Jun,5
2017,Jul,9
2017,Aug,7
2017,Sep,7
2017,Oct,5
2017,Nov,8
2017,Dec,13
2018,Jan,5
2018,Feb,8
2018,Mar,6
2018,Apr,10
2018,May,6
2018,Jun,8
2018,Jul,0
2018,Aug,2
2018,Sep,2
2018,Oct,8
2018,Nov,6
2018,Dec,6
2019,Jan,8
2019,Feb,8
2019,Mar,6
2019,Apr,3
2019,May,3
2019,Jun,11
2019,Jul,8
2019,Aug,8
2019,Sep,12
2019,Oct,9
2019,Nov,6
2019,Dec,9
2020,Jan,11
2020,Feb,7
2020,Mar,3
2020,Apr,2
2020,May,1
2020,Jun,8
2020,Jul,8
2020,Aug,7
2020,Sep,8
2020,Oct,7
2020,Nov,6
2020,Dec,6
2021,Jan,6
