Owner:,WHITE MICHAEL D
Cname:,DIRECTV
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,57
2004,May,52
2004,Jun,0
2004,Jul,55
2004,Aug,99
2004,Sep,0
2004,Oct,49
2004,Nov,100
2004,Dec,0
2005,Jan,39
2005,Feb,0
2005,Mar,0
2005,Apr,40
2005,May,36
2005,Jun,74
2005,Jul,36
2005,Aug,0
2005,Sep,63
2005,Oct,30
2005,Nov,61
2005,Dec,0
2006,Jan,0
2006,Feb,26
2006,Mar,0
2006,Apr,25
2006,May,47
2006,Jun,49
2006,Jul,0
2006,Aug,22
2006,Sep,22
2006,Oct,20
2006,Nov,20
2006,Dec,0
2007,Jan,18
2007,Feb,37
2007,Mar,68
2007,Apr,68
2007,May,31
2007,Jun,33
2007,Jul,63
2007,Aug,45
2007,Sep,30
2007,Oct,54
2007,Nov,81
2007,Dec,56
2008,Jan,25
2008,Feb,38
2008,Mar,25
2008,Apr,36
2008,May,12
2008,Jun,39
2008,Jul,50
2008,Aug,62
2008,Sep,45
2008,Oct,31
2008,Nov,35
2008,Dec,11
2009,Jan,64
2009,Feb,45
2009,Mar,61
2009,Apr,21
2009,May,10
2009,Jun,32
2009,Jul,42
2009,Aug,31
2009,Sep,59
2009,Oct,47
2009,Nov,58
2009,Dec,19
2010,Jan,27
2010,Feb,28
2010,Mar,76
2010,Apr,44
2010,May,28
2010,Jun,46
2010,Jul,40
2010,Aug,39
2010,Sep,44
2010,Oct,73
2010,Nov,36
2010,Dec,21
2011,Jan,56
2011,Feb,42
2011,Mar,49
2011,Apr,23
2011,May,55
2011,Jun,51
2011,Jul,33
2011,Aug,16
2011,Sep,36
2011,Oct,29
2011,Nov,35
2011,Dec,71
2012,Jan,27
2012,Feb,36
2012,Mar,13
2012,Apr,23
2012,May,39
2012,Jun,36
2012,Jul,22
2012,Aug,25
2012,Sep,34
2012,Oct,32
2012,Nov,57
2012,Dec,27
2013,Jan,22
2013,Feb,24
2013,Mar,39
2013,Apr,15
2013,May,40
2013,Jun,27
2013,Jul,18
2013,Aug,44
2013,Sep,22
2013,Oct,28
2013,Nov,11
2013,Dec,35
2014,Jan,34
2014,Feb,40
2014,Mar,27
2014,Apr,17
2014,May,40
2014,Jun,16
2014,Jul,24
2014,Aug,35
2014,Sep,30
2014,Oct,7
2014,Nov,46
2014,Dec,30
2015,Jan,36
2015,Feb,27
2015,Mar,41
2015,Apr,11
2015,May,43
2015,Jun,52
2015,Jul,52
2015,Aug,35
2015,Sep,19
2015,Oct,32
2015,Nov,26
2015,Dec,36
2016,Jan,30
2016,Feb,12
2016,Mar,26
2016,Apr,6
2016,May,30
2016,Jun,19
2016,Jul,25
2016,Aug,13
2016,Sep,30
2016,Oct,24
2016,Nov,23
2016,Dec,25
2017,Jan,24
2017,Feb,23
2017,Mar,28
2017,Apr,27
2017,May,14
2017,Jun,24
2017,Jul,32
2017,Aug,25
2017,Sep,11
2017,Oct,29
2017,Nov,24
2017,Dec,14
2018,Jan,16
2018,Feb,23
2018,Mar,26
2018,Apr,21
2018,May,24
2018,Jun,25
2018,Jul,5
2018,Aug,32
2018,Sep,14
2018,Oct,29
2018,Nov,16
2018,Dec,16
2019,Jan,28
2019,Feb,19
2019,Mar,21
2019,Apr,19
2019,May,8
2019,Jun,19
2019,Jul,30
2019,Aug,28
2019,Sep,33
2019,Oct,21
2019,Nov,22
2019,Dec,10
2020,Jan,25
2020,Feb,36
2020,Mar,21
2020,Apr,19
2020,May,25
2020,Jun,27
2020,Jul,23
2020,Aug,20
2020,Sep,9
2020,Oct,12
2020,Nov,17
2020,Dec,25
2021,Jan,12
