Owner:,WHITE WILLIAM A
Cname:,COASTWAY BANCORP INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,58
2004,Feb,0
2004,Mar,24
2004,Apr,18
2004,May,50
2004,Jun,0
2004,Jul,18
2004,Aug,48
2004,Sep,76
2004,Oct,47
2004,Nov,80
2004,Dec,0
2005,Jan,100
2005,Feb,79
2005,Mar,45
2005,Apr,51
2005,May,34
2005,Jun,47
2005,Jul,12
2005,Aug,22
2005,Sep,40
2005,Oct,47
2005,Nov,19
2005,Dec,28
2006,Jan,49
2006,Feb,42
2006,Mar,60
2006,Apr,40
2006,May,52
2006,Jun,24
2006,Jul,23
2006,Aug,14
2006,Sep,21
2006,Oct,45
2006,Nov,38
2006,Dec,32
2007,Jan,34
2007,Feb,24
2007,Mar,27
2007,Apr,27
2007,May,55
2007,Jun,16
2007,Jul,30
2007,Aug,34
2007,Sep,58
2007,Oct,26
2007,Nov,35
2007,Dec,18
2008,Jan,43
2008,Feb,53
2008,Mar,24
2008,Apr,35
2008,May,43
2008,Jun,25
2008,Jul,44
2008,Aug,20
2008,Sep,22
2008,Oct,47
2008,Nov,30
2008,Dec,36
2009,Jan,55
2009,Feb,76
2009,Mar,29
2009,Apr,30
2009,May,27
2009,Jun,31
2009,Jul,44
2009,Aug,39
2009,Sep,51
2009,Oct,58
2009,Nov,71
2009,Dec,46
2010,Jan,69
2010,Feb,68
2010,Mar,59
2010,Apr,46
2010,May,50
2010,Jun,48
2010,Jul,44
2010,Aug,42
2010,Sep,61
2010,Oct,51
2010,Nov,37
2010,Dec,48
2011,Jan,75
2011,Feb,63
2011,Mar,55
2011,Apr,66
2011,May,50
2011,Jun,55
2011,Jul,46
2011,Aug,54
2011,Sep,52
2011,Oct,47
2011,Nov,44
2011,Dec,52
2012,Jan,44
2012,Feb,48
2012,Mar,58
2012,Apr,35
2012,May,55
2012,Jun,41
2012,Jul,41
2012,Aug,50
2012,Sep,56
2012,Oct,59
2012,Nov,52
2012,Dec,48
2013,Jan,31
2013,Feb,35
2013,Mar,58
2013,Apr,59
2013,May,41
2013,Jun,46
2013,Jul,48
2013,Aug,40
2013,Sep,33
2013,Oct,48
2013,Nov,48
2013,Dec,42
2014,Jan,48
2014,Feb,66
2014,Mar,48
2014,Apr,62
2014,May,48
2014,Jun,50
2014,Jul,34
2014,Aug,36
2014,Sep,50
2014,Oct,47
2014,Nov,53
2014,Dec,53
2015,Jan,39
2015,Feb,41
2015,Mar,55
2015,Apr,52
2015,May,44
2015,Jun,38
2015,Jul,37
2015,Aug,29
2015,Sep,37
2015,Oct,37
2015,Nov,47
2015,Dec,43
2016,Jan,39
2016,Feb,54
2016,Mar,47
2016,Apr,56
2016,May,54
2016,Jun,43
2016,Jul,34
2016,Aug,34
2016,Sep,40
2016,Oct,50
2016,Nov,37
2016,Dec,57
2017,Jan,43
2017,Feb,52
2017,Mar,67
2017,Apr,52
2017,May,46
2017,Jun,27
2017,Jul,36
2017,Aug,43
2017,Sep,47
2017,Oct,50
2017,Nov,57
2017,Dec,39
2018,Jan,50
2018,Feb,61
2018,Mar,58
2018,Apr,59
2018,May,43
2018,Jun,33
2018,Jul,44
2018,Aug,34
2018,Sep,51
2018,Oct,55
2018,Nov,47
2018,Dec,52
2019,Jan,42
2019,Feb,56
2019,Mar,54
2019,Apr,61
2019,May,51
2019,Jun,45
2019,Jul,39
2019,Aug,28
2019,Sep,55
2019,Oct,39
2019,Nov,57
2019,Dec,51
2020,Jan,54
2020,Feb,65
2020,Mar,55
2020,Apr,60
2020,May,51
2020,Jun,65
2020,Jul,50
2020,Aug,40
2020,Sep,71
2020,Oct,83
2020,Nov,65
2020,Dec,74
2021,Jan,62
