Owner:,YEARWOOD JOHN
Cname:,SMITH INTERNATIONAL INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,100
2004,Aug,0
2004,Sep,0
2004,Oct,44
2004,Nov,91
2004,Dec,0
2005,Jan,71
2005,Feb,74
2005,Mar,0
2005,Apr,73
2005,May,0
2005,Jun,67
2005,Jul,66
2005,Aug,0
2005,Sep,57
2005,Oct,0
2005,Nov,55
2005,Dec,78
2006,Jan,47
2006,Feb,0
2006,Mar,43
2006,Apr,45
2006,May,21
2006,Jun,67
2006,Jul,22
2006,Aug,0
2006,Sep,40
2006,Oct,0
2006,Nov,0
2006,Dec,36
2007,Jan,16
2007,Feb,0
2007,Mar,0
2007,Apr,15
2007,May,0
2007,Jun,15
2007,Jul,0
2007,Aug,14
2007,Sep,41
2007,Oct,49
2007,Nov,98
2007,Dec,25
2008,Jan,22
2008,Feb,35
2008,Mar,56
2008,Apr,22
2008,May,45
2008,Jun,12
2008,Jul,11
2008,Aug,11
2008,Sep,41
2008,Oct,19
2008,Nov,11
2008,Dec,31
2009,Jan,39
2009,Feb,20
2009,Mar,18
2009,Apr,0
2009,May,10
2009,Jun,19
2009,Jul,28
2009,Aug,0
2009,Sep,0
2009,Oct,60
2009,Nov,9
2009,Dec,26
2010,Jan,8
2010,Feb,42
2010,Mar,31
2010,Apr,32
2010,May,33
2010,Jun,25
2010,Jul,0
2010,Aug,14
2010,Sep,34
2010,Oct,20
2010,Nov,6
2010,Dec,13
2011,Jan,20
2011,Feb,11
2011,Mar,29
2011,Apr,15
2011,May,25
2011,Jun,15
2011,Jul,15
2011,Aug,23
2011,Sep,9
2011,Oct,22
2011,Nov,18
2011,Dec,9
2012,Jan,8
2012,Feb,20
2012,Mar,8
2012,Apr,4
2012,May,35
2012,Jun,12
2012,Jul,20
2012,Aug,27
2012,Sep,4
2012,Oct,7
2012,Nov,18
2012,Dec,14
2013,Jan,20
2013,Feb,14
2013,Mar,19
2013,Apr,17
2013,May,23
2013,Jun,24
2013,Jul,7
2013,Aug,16
2013,Sep,29
2013,Oct,25
2013,Nov,29
2013,Dec,16
2014,Jan,24
2014,Feb,3
2014,Mar,21
2014,Apr,9
2014,May,3
2014,Jun,22
2014,Jul,22
2014,Aug,14
2014,Sep,10
2014,Oct,39
2014,Nov,10
2014,Dec,44
2015,Jan,13
2015,Feb,21
2015,Mar,13
2015,Apr,20
2015,May,32
2015,Jun,29
2015,Jul,14
2015,Aug,14
2015,Sep,20
2015,Oct,13
2015,Nov,20
2015,Dec,6
2016,Jan,11
2016,Feb,33
2016,Mar,31
2016,Apr,29
2016,May,24
2016,Jun,6
2016,Jul,43
2016,Aug,17
2016,Sep,22
2016,Oct,24
2016,Nov,52
2016,Dec,20
2017,Jan,38
2017,Feb,13
2017,Mar,21
2017,Apr,12
2017,May,13
2017,Jun,21
2017,Jul,24
2017,Aug,13
2017,Sep,22
2017,Oct,19
2017,Nov,34
2017,Dec,34
2018,Jan,26
2018,Feb,20
2018,Mar,14
2018,Apr,22
2018,May,12
2018,Jun,22
2018,Jul,5
2018,Aug,12
2018,Sep,20
2018,Oct,14
2018,Nov,36
2018,Dec,31
2019,Jan,28
2019,Feb,34
2019,Mar,12
2019,Apr,17
2019,May,24
2019,Jun,15
2019,Jul,19
2019,Aug,23
2019,Sep,25
2019,Oct,23
2019,Nov,31
2019,Dec,29
2020,Jan,29
2020,Feb,22
2020,Mar,34
2020,Apr,77
2020,May,22
2020,Jun,16
2020,Jul,12
2020,Aug,14
2020,Sep,14
2020,Oct,18
2020,Nov,22
2020,Dec,18
2021,Jan,13
