date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-02,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-03,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-04,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-05,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,83
2004-06,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-07,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-08,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-09,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-10,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-11,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2004-12,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-01,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-02,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,65
2005-03,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-04,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-05,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-06,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-07,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-08,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,54
2005-09,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,100
2005-10,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-11,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2005-12,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,91
2006-01,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2006-02,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
2006-03,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,37
2006-04,4249,CREVOISERAT JOANNE C,Chief Executive Officer of Coach,Joanne C. Crevoiserat,0
