Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,49
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,45
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,39
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,40
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,72
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,37
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,73
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,29
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,52
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,24
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,100
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,47
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,44
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,45
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,20
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,71
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,68
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,34
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,47
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,17
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,32
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,30
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,15
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,0
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,14
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,42
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,37
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,51
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,50
139,ADLER ADAM,Chief Executive Officer of Freeport-McMoRan,Richard Adkerson,12
