Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,35
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,46
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,22
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,36
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,16
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,34
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,100
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,16
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,15
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,27
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,56
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,53
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,94
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,0
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,33
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,34
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,43
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,11
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,44
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,10
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,20
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,19
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,55
200,AITKEN TIMOTHY M,Chief Executive Officer of Herbalife International,John O. Agwunobi,37
