Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,100
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,29
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,28
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,29
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,25
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,22
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
393,AMERSON ROBERT R,American businessman,Peter Altabef,0
