date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,510,ANGEL ISAAC,N/A,N/A,0
2004-02,510,ANGEL ISAAC,N/A,N/A,0
2004-03,510,ANGEL ISAAC,N/A,N/A,0
2004-04,510,ANGEL ISAAC,N/A,N/A,0
2004-05,510,ANGEL ISAAC,N/A,N/A,0
2004-06,510,ANGEL ISAAC,N/A,N/A,0
2004-07,510,ANGEL ISAAC,N/A,N/A,0
2004-08,510,ANGEL ISAAC,N/A,N/A,25
2004-09,510,ANGEL ISAAC,N/A,N/A,0
2004-10,510,ANGEL ISAAC,N/A,N/A,0
2004-11,510,ANGEL ISAAC,N/A,N/A,0
2004-12,510,ANGEL ISAAC,N/A,N/A,23
2005-01,510,ANGEL ISAAC,N/A,N/A,0
2005-02,510,ANGEL ISAAC,N/A,N/A,21
2005-03,510,ANGEL ISAAC,N/A,N/A,36
2005-04,510,ANGEL ISAAC,N/A,N/A,0
2005-05,510,ANGEL ISAAC,N/A,N/A,18
2005-06,510,ANGEL ISAAC,N/A,N/A,0
2005-07,510,ANGEL ISAAC,N/A,N/A,19
2005-08,510,ANGEL ISAAC,N/A,N/A,0
2005-09,510,ANGEL ISAAC,N/A,N/A,16
2005-10,510,ANGEL ISAAC,N/A,N/A,15
2005-11,510,ANGEL ISAAC,N/A,N/A,16
2005-12,510,ANGEL ISAAC,N/A,N/A,0
2006-01,510,ANGEL ISAAC,N/A,N/A,13
2006-02,510,ANGEL ISAAC,N/A,N/A,0
2006-03,510,ANGEL ISAAC,N/A,N/A,0
2006-04,510,ANGEL ISAAC,N/A,N/A,13
2006-05,510,ANGEL ISAAC,N/A,N/A,12
2006-06,510,ANGEL ISAAC,N/A,N/A,0
2006-07,510,ANGEL ISAAC,N/A,N/A,12
2006-08,510,ANGEL ISAAC,N/A,N/A,23
2006-09,510,ANGEL ISAAC,N/A,N/A,11
2006-10,510,ANGEL ISAAC,N/A,N/A,31
2006-11,510,ANGEL ISAAC,N/A,N/A,10
2006-12,510,ANGEL ISAAC,N/A,N/A,10
2007-01,510,ANGEL ISAAC,N/A,N/A,0
2007-02,510,ANGEL ISAAC,N/A,N/A,10
2007-03,510,ANGEL ISAAC,N/A,N/A,0
2007-04,510,ANGEL ISAAC,N/A,N/A,9
2007-05,510,ANGEL ISAAC,N/A,N/A,0
2007-06,510,ANGEL ISAAC,N/A,N/A,9
2007-07,510,ANGEL ISAAC,N/A,N/A,16
2007-08,510,ANGEL ISAAC,N/A,N/A,0
2007-09,510,ANGEL ISAAC,N/A,N/A,15
2007-10,510,ANGEL ISAAC,N/A,N/A,28
2007-11,510,ANGEL ISAAC,N/A,N/A,14
2007-12,510,ANGEL ISAAC,N/A,N/A,7
2008-01,510,ANGEL ISAAC,N/A,N/A,6
2008-02,510,ANGEL ISAAC,N/A,N/A,13
2008-03,510,ANGEL ISAAC,N/A,N/A,13
2008-04,510,ANGEL ISAAC,N/A,N/A,6
2008-05,510,ANGEL ISAAC,N/A,N/A,0
2008-06,510,ANGEL ISAAC,N/A,N/A,0
2008-07,510,ANGEL ISAAC,N/A,N/A,19
2008-08,510,ANGEL ISAAC,N/A,N/A,13
2008-09,510,ANGEL ISAAC,N/A,N/A,23
2008-10,510,ANGEL ISAAC,N/A,N/A,11
2008-11,510,ANGEL ISAAC,N/A,N/A,18
2008-12,510,ANGEL ISAAC,N/A,N/A,12
2009-01,510,ANGEL ISAAC,N/A,N/A,16
2009-02,510,ANGEL ISAAC,N/A,N/A,23
2009-03,510,ANGEL ISAAC,N/A,N/A,16
2009-04,510,ANGEL ISAAC,N/A,N/A,26
2009-05,510,ANGEL ISAAC,N/A,N/A,16
2009-06,510,ANGEL ISAAC,N/A,N/A,27
2009-07,510,ANGEL ISAAC,N/A,N/A,5
2009-08,510,ANGEL ISAAC,N/A,N/A,16
2009-09,510,ANGEL ISAAC,N/A,N/A,15
2009-10,510,ANGEL ISAAC,N/A,N/A,10
2009-11,510,ANGEL ISAAC,N/A,N/A,20
2009-12,510,ANGEL ISAAC,N/A,N/A,10
2010-01,510,ANGEL ISAAC,N/A,N/A,14
2010-02,510,ANGEL ISAAC,N/A,N/A,14
2010-03,510,ANGEL ISAAC,N/A,N/A,26
2010-04,510,ANGEL ISAAC,N/A,N/A,13
2010-05,510,ANGEL ISAAC,N/A,N/A,0
2010-06,510,ANGEL ISAAC,N/A,N/A,9
2010-07,510,ANGEL ISAAC,N/A,N/A,16
2010-08,510,ANGEL ISAAC,N/A,N/A,12
2010-09,510,ANGEL ISAAC,N/A,N/A,23
2010-10,510,ANGEL ISAAC,N/A,N/A,22
2010-11,510,ANGEL ISAAC,N/A,N/A,29
2010-12,510,ANGEL ISAAC,N/A,N/A,15
2011-01,510,ANGEL ISAAC,N/A,N/A,6
2011-02,510,ANGEL ISAAC,N/A,N/A,15
2011-03,510,ANGEL ISAAC,N/A,N/A,17
2011-04,510,ANGEL ISAAC,N/A,N/A,12
2011-05,510,ANGEL ISAAC,N/A,N/A,3
2011-06,510,ANGEL ISAAC,N/A,N/A,3
2011-07,510,ANGEL ISAAC,N/A,N/A,3
2011-08,510,ANGEL ISAAC,N/A,N/A,11
2011-09,510,ANGEL ISAAC,N/A,N/A,11
2011-10,510,ANGEL ISAAC,N/A,N/A,17
2011-11,510,ANGEL ISAAC,N/A,N/A,13
2011-12,510,ANGEL ISAAC,N/A,N/A,17
2012-01,510,ANGEL ISAAC,N/A,N/A,23
2012-02,510,ANGEL ISAAC,N/A,N/A,14
2012-03,510,ANGEL ISAAC,N/A,N/A,15
2012-04,510,ANGEL ISAAC,N/A,N/A,16
2012-05,510,ANGEL ISAAC,N/A,N/A,18
2012-06,510,ANGEL ISAAC,N/A,N/A,18
2012-07,510,ANGEL ISAAC,N/A,N/A,20
2012-08,510,ANGEL ISAAC,N/A,N/A,30
2012-09,510,ANGEL ISAAC,N/A,N/A,26
2012-10,510,ANGEL ISAAC,N/A,N/A,20
2012-11,510,ANGEL ISAAC,N/A,N/A,25
2012-12,510,ANGEL ISAAC,N/A,N/A,28
2013-01,510,ANGEL ISAAC,N/A,N/A,22
2013-02,510,ANGEL ISAAC,N/A,N/A,18
2013-03,510,ANGEL ISAAC,N/A,N/A,25
2013-04,510,ANGEL ISAAC,N/A,N/A,11
2013-05,510,ANGEL ISAAC,N/A,N/A,15
2013-06,510,ANGEL ISAAC,N/A,N/A,10
2013-07,510,ANGEL ISAAC,N/A,N/A,24
2013-08,510,ANGEL ISAAC,N/A,N/A,24
2013-09,510,ANGEL ISAAC,N/A,N/A,24
2013-10,510,ANGEL ISAAC,N/A,N/A,33
2013-11,510,ANGEL ISAAC,N/A,N/A,29
2013-12,510,ANGEL ISAAC,N/A,N/A,23
2014-01,510,ANGEL ISAAC,N/A,N/A,15
2014-02,510,ANGEL ISAAC,N/A,N/A,26
2014-03,510,ANGEL ISAAC,N/A,N/A,24
2014-04,510,ANGEL ISAAC,N/A,N/A,28
2014-05,510,ANGEL ISAAC,N/A,N/A,37
2014-06,510,ANGEL ISAAC,N/A,N/A,40
2014-07,510,ANGEL ISAAC,N/A,N/A,26
2014-08,510,ANGEL ISAAC,N/A,N/A,28
2014-09,510,ANGEL ISAAC,N/A,N/A,21
2014-10,510,ANGEL ISAAC,N/A,N/A,29
2014-11,510,ANGEL ISAAC,N/A,N/A,100
2014-12,510,ANGEL ISAAC,N/A,N/A,75
2015-01,510,ANGEL ISAAC,N/A,N/A,70
