date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,692,ASHTON PAUL,N/A,N/A,100
2004-02,692,ASHTON PAUL,N/A,N/A,33
2004-03,692,ASHTON PAUL,N/A,N/A,31
2004-04,692,ASHTON PAUL,N/A,N/A,40
2004-05,692,ASHTON PAUL,N/A,N/A,14
2004-06,692,ASHTON PAUL,N/A,N/A,30
2004-07,692,ASHTON PAUL,N/A,N/A,23
2004-08,692,ASHTON PAUL,N/A,N/A,14
2004-09,692,ASHTON PAUL,N/A,N/A,33
2004-10,692,ASHTON PAUL,N/A,N/A,7
2004-11,692,ASHTON PAUL,N/A,N/A,0
2004-12,692,ASHTON PAUL,N/A,N/A,0
2005-01,692,ASHTON PAUL,N/A,N/A,5
2005-02,692,ASHTON PAUL,N/A,N/A,23
2005-03,692,ASHTON PAUL,N/A,N/A,19
2005-04,692,ASHTON PAUL,N/A,N/A,17
2005-05,692,ASHTON PAUL,N/A,N/A,0
2005-06,692,ASHTON PAUL,N/A,N/A,10
2005-07,692,ASHTON PAUL,N/A,N/A,0
2005-08,692,ASHTON PAUL,N/A,N/A,9
2005-09,692,ASHTON PAUL,N/A,N/A,22
2005-10,692,ASHTON PAUL,N/A,N/A,12
2005-11,692,ASHTON PAUL,N/A,N/A,13
2005-12,692,ASHTON PAUL,N/A,N/A,24
2006-01,692,ASHTON PAUL,N/A,N/A,7
2006-02,692,ASHTON PAUL,N/A,N/A,22
2006-03,692,ASHTON PAUL,N/A,N/A,7
2006-04,692,ASHTON PAUL,N/A,N/A,7
2006-05,692,ASHTON PAUL,N/A,N/A,6
2006-06,692,ASHTON PAUL,N/A,N/A,7
2006-07,692,ASHTON PAUL,N/A,N/A,13
2006-08,692,ASHTON PAUL,N/A,N/A,9
2006-09,692,ASHTON PAUL,N/A,N/A,6
2006-10,692,ASHTON PAUL,N/A,N/A,8
2006-11,692,ASHTON PAUL,N/A,N/A,6
2006-12,692,ASHTON PAUL,N/A,N/A,11
2007-01,692,ASHTON PAUL,N/A,N/A,7
2007-02,692,ASHTON PAUL,N/A,N/A,3
2007-03,692,ASHTON PAUL,N/A,N/A,5
2007-04,692,ASHTON PAUL,N/A,N/A,12
2007-05,692,ASHTON PAUL,N/A,N/A,4
2007-06,692,ASHTON PAUL,N/A,N/A,18
2007-07,692,ASHTON PAUL,N/A,N/A,9
2007-08,692,ASHTON PAUL,N/A,N/A,6
2007-09,692,ASHTON PAUL,N/A,N/A,2
2007-10,692,ASHTON PAUL,N/A,N/A,13
2007-11,692,ASHTON PAUL,N/A,N/A,9
2007-12,692,ASHTON PAUL,N/A,N/A,2
2008-01,692,ASHTON PAUL,N/A,N/A,8
2008-02,692,ASHTON PAUL,N/A,N/A,12
2008-03,692,ASHTON PAUL,N/A,N/A,10
2008-04,692,ASHTON PAUL,N/A,N/A,8
2008-05,692,ASHTON PAUL,N/A,N/A,12
2008-06,692,ASHTON PAUL,N/A,N/A,7
2008-07,692,ASHTON PAUL,N/A,N/A,2
2008-08,692,ASHTON PAUL,N/A,N/A,12
2008-09,692,ASHTON PAUL,N/A,N/A,17
2008-10,692,ASHTON PAUL,N/A,N/A,9
2008-11,692,ASHTON PAUL,N/A,N/A,8
2008-12,692,ASHTON PAUL,N/A,N/A,6
2009-01,692,ASHTON PAUL,N/A,N/A,7
2009-02,692,ASHTON PAUL,N/A,N/A,12
2009-03,692,ASHTON PAUL,N/A,N/A,14
2009-04,692,ASHTON PAUL,N/A,N/A,21
2009-05,692,ASHTON PAUL,N/A,N/A,4
2009-06,692,ASHTON PAUL,N/A,N/A,7
2009-07,692,ASHTON PAUL,N/A,N/A,4
2009-08,692,ASHTON PAUL,N/A,N/A,18
2009-09,692,ASHTON PAUL,N/A,N/A,10
2009-10,692,ASHTON PAUL,N/A,N/A,7
2009-11,692,ASHTON PAUL,N/A,N/A,9
2009-12,692,ASHTON PAUL,N/A,N/A,8
2010-01,692,ASHTON PAUL,N/A,N/A,7
2010-02,692,ASHTON PAUL,N/A,N/A,15
2010-03,692,ASHTON PAUL,N/A,N/A,9
2010-04,692,ASHTON PAUL,N/A,N/A,5
2010-05,692,ASHTON PAUL,N/A,N/A,6
2010-06,692,ASHTON PAUL,N/A,N/A,15
2010-07,692,ASHTON PAUL,N/A,N/A,13
