date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,786,AZOFF IRVING,N/A,N/A,30
2004-02,786,AZOFF IRVING,N/A,N/A,58
2004-03,786,AZOFF IRVING,N/A,N/A,0
2004-04,786,AZOFF IRVING,N/A,N/A,56
2004-05,786,AZOFF IRVING,N/A,N/A,13
2004-06,786,AZOFF IRVING,N/A,N/A,53
2004-07,786,AZOFF IRVING,N/A,N/A,41
2004-08,786,AZOFF IRVING,N/A,N/A,12
2004-09,786,AZOFF IRVING,N/A,N/A,58
2004-10,786,AZOFF IRVING,N/A,N/A,24
2004-11,786,AZOFF IRVING,N/A,N/A,12
2004-12,786,AZOFF IRVING,N/A,N/A,33
2005-01,786,AZOFF IRVING,N/A,N/A,29
2005-02,786,AZOFF IRVING,N/A,N/A,40
2005-03,786,AZOFF IRVING,N/A,N/A,17
2005-04,786,AZOFF IRVING,N/A,N/A,49
2005-05,786,AZOFF IRVING,N/A,N/A,0
2005-06,786,AZOFF IRVING,N/A,N/A,18
2005-07,786,AZOFF IRVING,N/A,N/A,18
2005-08,786,AZOFF IRVING,N/A,N/A,25
2005-09,786,AZOFF IRVING,N/A,N/A,16
2005-10,786,AZOFF IRVING,N/A,N/A,22
2005-11,786,AZOFF IRVING,N/A,N/A,37
2005-12,786,AZOFF IRVING,N/A,N/A,7
2006-01,786,AZOFF IRVING,N/A,N/A,13
2006-02,786,AZOFF IRVING,N/A,N/A,19
2006-03,786,AZOFF IRVING,N/A,N/A,23
2006-04,786,AZOFF IRVING,N/A,N/A,24
2006-05,786,AZOFF IRVING,N/A,N/A,17
2006-06,786,AZOFF IRVING,N/A,N/A,18
2006-07,786,AZOFF IRVING,N/A,N/A,6
2006-08,786,AZOFF IRVING,N/A,N/A,16
2006-09,786,AZOFF IRVING,N/A,N/A,11
2006-10,786,AZOFF IRVING,N/A,N/A,20
2006-11,786,AZOFF IRVING,N/A,N/A,15
2006-12,786,AZOFF IRVING,N/A,N/A,10
2007-01,786,AZOFF IRVING,N/A,N/A,30
2007-02,786,AZOFF IRVING,N/A,N/A,14
2007-03,786,AZOFF IRVING,N/A,N/A,21
2007-04,786,AZOFF IRVING,N/A,N/A,17
