date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,1352,BELL LEONARD,N/A,N/A,15
2004-02,1352,BELL LEONARD,N/A,N/A,14
2004-03,1352,BELL LEONARD,N/A,N/A,0
2004-04,1352,BELL LEONARD,N/A,N/A,28
2004-05,1352,BELL LEONARD,N/A,N/A,0
2004-06,1352,BELL LEONARD,N/A,N/A,39
2004-07,1352,BELL LEONARD,N/A,N/A,0
2004-08,1352,BELL LEONARD,N/A,N/A,12
2004-09,1352,BELL LEONARD,N/A,N/A,23
2004-10,1352,BELL LEONARD,N/A,N/A,12
2004-11,1352,BELL LEONARD,N/A,N/A,60
2004-12,1352,BELL LEONARD,N/A,N/A,11
2005-01,1352,BELL LEONARD,N/A,N/A,0
2005-02,1352,BELL LEONARD,N/A,N/A,10
2005-03,1352,BELL LEONARD,N/A,N/A,17
2005-04,1352,BELL LEONARD,N/A,N/A,0
2005-05,1352,BELL LEONARD,N/A,N/A,9
2005-06,1352,BELL LEONARD,N/A,N/A,9
2005-07,1352,BELL LEONARD,N/A,N/A,18
2005-08,1352,BELL LEONARD,N/A,N/A,41
2005-09,1352,BELL LEONARD,N/A,N/A,15
2005-10,1352,BELL LEONARD,N/A,N/A,0
2005-11,1352,BELL LEONARD,N/A,N/A,29
2005-12,1352,BELL LEONARD,N/A,N/A,14
2006-01,1352,BELL LEONARD,N/A,N/A,43
2006-02,1352,BELL LEONARD,N/A,N/A,38
2006-03,1352,BELL LEONARD,N/A,N/A,17
2006-04,1352,BELL LEONARD,N/A,N/A,12
2006-05,1352,BELL LEONARD,N/A,N/A,11
2006-06,1352,BELL LEONARD,N/A,N/A,12
2006-07,1352,BELL LEONARD,N/A,N/A,12
2006-08,1352,BELL LEONARD,N/A,N/A,11
2006-09,1352,BELL LEONARD,N/A,N/A,5
2006-10,1352,BELL LEONARD,N/A,N/A,15
2006-11,1352,BELL LEONARD,N/A,N/A,34
2006-12,1352,BELL LEONARD,N/A,N/A,34
2007-01,1352,BELL LEONARD,N/A,N/A,13
2007-02,1352,BELL LEONARD,N/A,N/A,9
2007-03,1352,BELL LEONARD,N/A,N/A,12
2007-04,1352,BELL LEONARD,N/A,N/A,16
2007-05,1352,BELL LEONARD,N/A,N/A,26
2007-06,1352,BELL LEONARD,N/A,N/A,8
2007-07,1352,BELL LEONARD,N/A,N/A,15
2007-08,1352,BELL LEONARD,N/A,N/A,11
2007-09,1352,BELL LEONARD,N/A,N/A,22
2007-10,1352,BELL LEONARD,N/A,N/A,19
2007-11,1352,BELL LEONARD,N/A,N/A,13
