date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,1750,BISSELL JOHN,N/A,N/A,32
2004-02,1750,BISSELL JOHN,N/A,N/A,0
2004-03,1750,BISSELL JOHN,N/A,N/A,40
2004-04,1750,BISSELL JOHN,N/A,N/A,0
2004-05,1750,BISSELL JOHN,N/A,N/A,0
2004-06,1750,BISSELL JOHN,N/A,N/A,56
2004-07,1750,BISSELL JOHN,N/A,N/A,0
2004-08,1750,BISSELL JOHN,N/A,N/A,52
2004-09,1750,BISSELL JOHN,N/A,N/A,100
2004-10,1750,BISSELL JOHN,N/A,N/A,51
2004-11,1750,BISSELL JOHN,N/A,N/A,53
2004-12,1750,BISSELL JOHN,N/A,N/A,0
2005-01,1750,BISSELL JOHN,N/A,N/A,21
2005-02,1750,BISSELL JOHN,N/A,N/A,22
2005-03,1750,BISSELL JOHN,N/A,N/A,0
2005-04,1750,BISSELL JOHN,N/A,N/A,21
2005-05,1750,BISSELL JOHN,N/A,N/A,19
2005-06,1750,BISSELL JOHN,N/A,N/A,39
2005-07,1750,BISSELL JOHN,N/A,N/A,19
2005-08,1750,BISSELL JOHN,N/A,N/A,54
2005-09,1750,BISSELL JOHN,N/A,N/A,33
2005-10,1750,BISSELL JOHN,N/A,N/A,31
2005-11,1750,BISSELL JOHN,N/A,N/A,0
2005-12,1750,BISSELL JOHN,N/A,N/A,0
2006-01,1750,BISSELL JOHN,N/A,N/A,41
2006-02,1750,BISSELL JOHN,N/A,N/A,42
2006-03,1750,BISSELL JOHN,N/A,N/A,12
2006-04,1750,BISSELL JOHN,N/A,N/A,39
2006-05,1750,BISSELL JOHN,N/A,N/A,12
2006-06,1750,BISSELL JOHN,N/A,N/A,0
2006-07,1750,BISSELL JOHN,N/A,N/A,38
2006-08,1750,BISSELL JOHN,N/A,N/A,12
2006-09,1750,BISSELL JOHN,N/A,N/A,12
2006-10,1750,BISSELL JOHN,N/A,N/A,21
2006-11,1750,BISSELL JOHN,N/A,N/A,0
2006-12,1750,BISSELL JOHN,N/A,N/A,21
2007-01,1750,BISSELL JOHN,N/A,N/A,9
2007-02,1750,BISSELL JOHN,N/A,N/A,20
2007-03,1750,BISSELL JOHN,N/A,N/A,27
2007-04,1750,BISSELL JOHN,N/A,N/A,9
2007-05,1750,BISSELL JOHN,N/A,N/A,33
2007-06,1750,BISSELL JOHN,N/A,N/A,18
2007-07,1750,BISSELL JOHN,N/A,N/A,17
2007-08,1750,BISSELL JOHN,N/A,N/A,8
2007-09,1750,BISSELL JOHN,N/A,N/A,39
2007-10,1750,BISSELL JOHN,N/A,N/A,7
2007-11,1750,BISSELL JOHN,N/A,N/A,21
2007-12,1750,BISSELL JOHN,N/A,N/A,15
2008-01,1750,BISSELL JOHN,N/A,N/A,26
2008-02,1750,BISSELL JOHN,N/A,N/A,27
2008-03,1750,BISSELL JOHN,N/A,N/A,33
2008-04,1750,BISSELL JOHN,N/A,N/A,32
2008-05,1750,BISSELL JOHN,N/A,N/A,13
2008-06,1750,BISSELL JOHN,N/A,N/A,7
2008-07,1750,BISSELL JOHN,N/A,N/A,7
2008-08,1750,BISSELL JOHN,N/A,N/A,26
2008-09,1750,BISSELL JOHN,N/A,N/A,30
2008-10,1750,BISSELL JOHN,N/A,N/A,28
2008-11,1750,BISSELL JOHN,N/A,N/A,12
2008-12,1750,BISSELL JOHN,N/A,N/A,18
2009-01,1750,BISSELL JOHN,N/A,N/A,23
2009-02,1750,BISSELL JOHN,N/A,N/A,12
2009-03,1750,BISSELL JOHN,N/A,N/A,16
2009-04,1750,BISSELL JOHN,N/A,N/A,27
2009-05,1750,BISSELL JOHN,N/A,N/A,11
2009-06,1750,BISSELL JOHN,N/A,N/A,17
2009-07,1750,BISSELL JOHN,N/A,N/A,33
2009-08,1750,BISSELL JOHN,N/A,N/A,16
2009-09,1750,BISSELL JOHN,N/A,N/A,21
2009-10,1750,BISSELL JOHN,N/A,N/A,10
2009-11,1750,BISSELL JOHN,N/A,N/A,26
2009-12,1750,BISSELL JOHN,N/A,N/A,15
2010-01,1750,BISSELL JOHN,N/A,N/A,10
2010-02,1750,BISSELL JOHN,N/A,N/A,25
2010-03,1750,BISSELL JOHN,N/A,N/A,18
2010-04,1750,BISSELL JOHN,N/A,N/A,14
2010-05,1750,BISSELL JOHN,N/A,N/A,15
2010-06,1750,BISSELL JOHN,N/A,N/A,15
2010-07,1750,BISSELL JOHN,N/A,N/A,13
2010-08,1750,BISSELL JOHN,N/A,N/A,20
2010-09,1750,BISSELL JOHN,N/A,N/A,24
2010-10,1750,BISSELL JOHN,N/A,N/A,23
2010-11,1750,BISSELL JOHN,N/A,N/A,11
2010-12,1750,BISSELL JOHN,N/A,N/A,4
2011-01,1750,BISSELL JOHN,N/A,N/A,9
2011-02,1750,BISSELL JOHN,N/A,N/A,10
2011-03,1750,BISSELL JOHN,N/A,N/A,26
2011-04,1750,BISSELL JOHN,N/A,N/A,24
2011-05,1750,BISSELL JOHN,N/A,N/A,17
2011-06,1750,BISSELL JOHN,N/A,N/A,9
2011-07,1750,BISSELL JOHN,N/A,N/A,15
2011-08,1750,BISSELL JOHN,N/A,N/A,14
2011-09,1750,BISSELL JOHN,N/A,N/A,22
2011-10,1750,BISSELL JOHN,N/A,N/A,18
2011-11,1750,BISSELL JOHN,N/A,N/A,18
2011-12,1750,BISSELL JOHN,N/A,N/A,10
2012-01,1750,BISSELL JOHN,N/A,N/A,26
2012-02,1750,BISSELL JOHN,N/A,N/A,5
2012-03,1750,BISSELL JOHN,N/A,N/A,11
2012-04,1750,BISSELL JOHN,N/A,N/A,19
2012-05,1750,BISSELL JOHN,N/A,N/A,9
2012-06,1750,BISSELL JOHN,N/A,N/A,14
2012-07,1750,BISSELL JOHN,N/A,N/A,21
2012-08,1750,BISSELL JOHN,N/A,N/A,13
2012-09,1750,BISSELL JOHN,N/A,N/A,18
2012-10,1750,BISSELL JOHN,N/A,N/A,21
2012-11,1750,BISSELL JOHN,N/A,N/A,19
2012-12,1750,BISSELL JOHN,N/A,N/A,21
2013-01,1750,BISSELL JOHN,N/A,N/A,25
2013-02,1750,BISSELL JOHN,N/A,N/A,21
2013-03,1750,BISSELL JOHN,N/A,N/A,23
2013-04,1750,BISSELL JOHN,N/A,N/A,14
2013-05,1750,BISSELL JOHN,N/A,N/A,13
2013-06,1750,BISSELL JOHN,N/A,N/A,16
2013-07,1750,BISSELL JOHN,N/A,N/A,16
2013-08,1750,BISSELL JOHN,N/A,N/A,12
2013-09,1750,BISSELL JOHN,N/A,N/A,19
2013-10,1750,BISSELL JOHN,N/A,N/A,15
2013-11,1750,BISSELL JOHN,N/A,N/A,6
2013-12,1750,BISSELL JOHN,N/A,N/A,9
2014-01,1750,BISSELL JOHN,N/A,N/A,23
